Sample_ID,Percent_alignment
1101,80
119,80.98
120,75.2
121,64.15
127,55.45
128,61.33
129,61.36
130,92.45
131,45.59
132,48.66
133,86.18
134,46.07
153,90.32
1548,67.91
154,90.79
155,91.02
156,88.36
157,50.72
158,88.39
159,65.07
160,86.34
1628,77.72
162,81.84
163,88.39
164,90.19
165,89.59
166,87.25
167,81.38
168,77.55
169,90.48
179,70.47
180,63.18
181,86.71
182,89.28
183,88.35
184,70.55
185,77.58
186,77.62
212,76.56
215,60.98
218,91.16
221,90.33
359,90.84
361,91.56
363,90.12
365,91.59
367,91.17
371,92.27
373,90.22
375,89.37
379,92.66
,
AVERAGE,79.28039216
MAX,92.66
MIN,45.59
