"","X359","X361","X363","X365","X367","X371","X373","X375","X379"
"adi2mcaRNA17502_R0",3515,3373,2740,1936,1913,2225,2084,2522,1494
"g21716",524,567,568,696,452,693,559,338,785
"g21714",199,193,219,176,172,242,224,103,201
"g21710",801,927,1079,1230,601,1183,1028,810,1147
"g35549",8431,7326,9452,5756,7650,5905,4494,8052,5484
"g50130",493,513,281,120,161,99,64,155,82
"g7652",1143,1144,1669,1379,1298,1641,1144,923,1911
"g7653",998,841,1069,774,763,654,542,817,677
"g55565",1778,1730,2088,1973,1729,2049,1481,1456,2022
"g39880",151,166,192,170,103,87,65,170,81
"g1371",39,49,40,49,50,88,52,40,95
"g45283",83,54,80,44,58,29,21,69,46
"g1375",1714,1781,2716,2377,2689,2972,2100,2192,2734
"adi2mcaRNA29406_R0",517,593,774,566,533,671,577,411,813
"g41941",39,58,58,32,41,95,83,9,111
"g41942",6237,6393,7484,6433,7017,11686,11332,4920,10127
"adi2mcaRNA21193_R0",8886,8907,9902,9806,8415,9499,10292,7962,10932
"g33595",1143,1090,1675,1730,1013,1405,1323,974,1636
"g33594",1767,1895,2192,1894,2063,2886,2147,1850,2824
"g7651",179,193,278,217,216,308,167,199,319
"g38026",133,152,201,188,141,250,155,112,281
"g38027",1197,1123,1820,1206,1120,1702,1353,845,1634
"g36344",484,593,588,456,360,308,309,493,378
"g36343",152,137,138,116,131,78,38,127,62
"g25292",113,110,163,63,84,56,67,131,35
"g37692",833,818,963,996,865,1239,1169,800,1214
"g25969",5742,5217,6282,3763,4815,3675,2981,4407,4001
"g31698",1173,1310,2078,1947,2174,2587,1967,1338,2204
"g31699",2476,2261,2682,1955,2127,1732,1246,2205,1722
"g37969",387,462,424,432,349,262,155,313,279
"g61068",5039,5691,6785,6770,7923,9645,6975,5767,9293
"g55558",3248,3250,3834,3146,3795,4242,3329,3122,4348
"g27956",495,481,648,555,472,561,416,324,698
"g41354",595,726,901,725,600,945,666,671,986
"g36478",45,91,160,112,122,99,106,46,101
"adi2mcaRNA10307_R0",505,473,493,298,349,325,253,345,314
"g32960",1261,1093,1404,815,954,838,582,1215,680
"g32965",801,744,851,602,585,565,395,617,521
"g60074",3669,3668,2996,2332,2110,2241,1631,2064,1751
"g60077",33,51,58,42,30,20,6,38,20
"g60073",586,560,1084,959,867,772,518,499,882
"g52454",327,330,379,361,349,368,323,243,430
"adi2mcaRNA33811_R0",205,369,187,159,118,161,57,273,96
"g50761",1230,1286,1309,1173,703,1494,1130,735,1687
"g50760",2323,2824,1763,1646,1362,2764,2551,1248,2891
"g69137",1307,1441,1717,1280,1419,1523,1227,1076,1792
"g61309",779,1051,1290,1162,1211,1761,925,872,1335
"g51428",1127,1176,1686,1496,1712,2134,1380,1565,1741
"g15578",1325,1261,1863,1892,1625,1839,1451,1523,1773
"g67640",623,685,496,492,542,1679,1741,212,1467
"g41358",225,198,197,101,171,87,69,105,72
"g44186",2093,1980,1832,1465,1579,1282,1122,1409,1309
"adi2mcaRNA29406_R3",213,273,275,205,130,173,81,289,140
"g49294",1942,2011,1841,1535,1311,1572,1060,1596,1160
"g49299",393,456,549,450,448,665,451,378,580
"g15271",736,593,436,503,241,510,237,566,400
"g18629",153,150,213,280,256,206,178,112,283
"adi2mcaRNA13039_R0",129,94,153,87,86,181,124,70,137
"g45329",8149,8156,8785,6735,7264,6600,4321,7351,6473
"adi2mcaRNA23633_R0",601,568,668,456,613,1269,1476,414,840
"g36951",6468,8507,7119,6802,5016,5239,3524,6197,4940
"g13155",28,21,70,41,45,78,88,6,110
"g45334",239,209,244,180,249,267,296,159,254
"g46745",499,542,579,468,481,332,301,488,400
"g16308",362,315,485,562,410,684,621,306,779
"g38273",969,713,861,758,679,403,288,616,369
"g599",241,356,982,1133,596,781,487,268,680
"g3668",1067,1221,1317,1297,1215,1385,934,781,1346
"g24483",1954,1591,2651,2033,2083,2657,1583,1820,3404
"g31011",986,899,1144,767,737,713,647,1180,462
"g22504",2162,1933,2031,1438,1662,1393,955,1705,1278
"g22509",376,340,525,486,265,523,404,272,509
"adi2mcaRNA2729_R1",4322,3589,4468,3361,3139,2715,2070,3556,2876
"g41798",4384,4515,4765,3777,3461,3722,2589,4029,3572
"g55847",410,341,324,294,311,247,198,312,234
"adi2mcaRNA4698_R0",2569,2541,3003,2829,2706,4117,3414,1773,4035
"g28142",542,475,584,263,375,239,173,354,373
"g48214",1653,1623,1724,924,1167,984,739,1390,925
"g48212",281,260,348,340,216,339,299,212,361
"g58596",370,441,352,353,348,590,436,286,476
"g58597",612,541,673,797,732,664,649,502,781
"g4648",1679,1475,1574,1150,1101,1020,830,1126,1149
"g10864",176,177,232,241,162,199,310,138,243
"g3344",346,191,216,368,317,423,234,180,492
"adi2mcaRNA29697_R0",1729,1631,1857,1302,1431,1131,632,1781,1214
"g12854",267,191,202,182,195,120,125,261,128
"adi2mcaRNA13_R1",184,158,263,151,185,76,85,165,95
"g35150",6326,7077,7076,7715,5199,8985,6106,4947,8493
"g35487",262,275,565,539,396,378,291,240,452
"g35482",3873,3830,2919,2322,2147,2219,1489,2942,1536
"g7331",45,54,67,12,37,20,15,47,18
"g52080",835,803,1138,1101,900,1030,704,694,1079
"g24147",2335,2107,3001,2724,2346,2745,2152,1312,3285
"adi2mcaRNA29946_R0",3232,2769,3530,2324,2616,2225,1461,2870,2244
"adi2mcaRNA36181_R0",20,8,70,31,34,15,54,12,40
"g40686",967,1205,1328,1335,1207,1563,1284,956,1614
"adi2mcaRNA9037_R0",444,515,732,753,535,696,561,291,772
"adi2mcaRNA21392_R0",1504,1574,1906,1670,1315,1824,1425,1009,2032
"g26437",1950,1790,2254,1448,1809,1410,1144,1797,1193
"g36441",694,602,828,520,559,472,343,611,518
"g32351",1853,1691,2240,1381,1690,1205,1041,1725,1324
"g32357",4165,3917,3839,4616,2966,5107,4003,2833,4831
"adi2mcaRNA8162_R0",1615,1676,1825,1997,1033,2164,1438,1041,2009
"g41673",5433,5141,5784,3382,4326,3445,3202,4634,3784
"g41672",3520,3115,3764,2481,2660,2482,1940,2877,2108
"g38331",5608,5303,6654,6007,6921,7743,5605,5721,7449
"g64409",224,187,376,273,241,321,246,218,287
"g34997",1064,1124,1181,1056,894,1327,951,915,1271
"g34992",204,103,208,244,206,320,180,98,294
"g45705",3231,2704,3420,2371,2358,2220,1759,2375,2238
"g46958",2955,3177,3206,3720,2280,3928,3202,2503,4155
"g70058",148,121,152,123,87,201,169,124,173
"adi2mcaRNA13683_R2",63,57,111,59,62,82,72,39,106
"g31927",41211,35759,50139,30636,31838,22730,17437,34836,24315
"g62117",17358,19213,22800,17642,17333,20324,15073,14509,23413
"g57630",8394,10356,9246,9377,8853,11331,8097,5831,11249
"g57631",161,210,207,230,175,330,239,117,347
"g53604",1214,1454,1542,1534,1029,1845,1525,1241,1485
"g34655",147,122,141,134,109,103,33,96,60
"g34654",567,614,593,561,465,723,467,343,783
"g60700",577,525,629,449,412,431,275,497,381
"g56271",83,73,51,36,30,55,15,63,29
"g56270",263,286,235,217,146,167,124,233,173
"g48008",889,809,800,663,613,593,469,699,585
"g10884",1161,1138,1213,856,890,804,517,960,677
"adi2mcaRNA41444_R0",2710,2563,3014,2567,1850,3441,2833,2112,4061
"g43433",1052,1143,645,363,561,305,339,366,421
"g32972",1078,1134,1150,1059,795,1195,1131,775,1270
"g32973",827,655,858,547,630,484,363,657,566
"g38614",249,305,291,91,204,106,122,163,132
"g45999",283,260,298,358,197,369,320,190,379
"g40310",310,277,514,428,390,428,418,335,487
"g40317",316,318,415,293,304,416,270,211,405
"g15232",109,112,100,103,116,152,182,104,141
"adi2mcaRNA39053_R0",118,89,147,99,116,174,114,76,151
"g29740",1380,1342,2164,1810,2175,2314,1651,1808,2237
"g14720",77,85,140,135,89,52,40,144,35
"g28824",1063,1126,1539,1381,821,1511,1028,737,1343
"g19954",6953,8606,9242,8662,5793,10076,6366,4583,9444
"g43777",90,75,70,52,98,58,38,129,38
"g43779",615,680,1051,978,558,441,248,779,498
"g21554",1844,1969,2322,2229,2291,2936,2247,2024,2994
"g21557",150,149,125,97,117,201,183,60,189
"g25424",134,191,301,227,245,201,223,118,261
"g25426",2441,2292,2726,1639,2131,1591,1210,2001,1516
"g45536",7040,7809,7337,6253,5405,9779,7565,6202,10003
"g29880",648,613,1141,967,1024,988,729,535,1027
"g29885",5294,4338,6248,3580,4354,3417,2825,4507,3288
"g46859",1583,1653,2425,2623,2302,2395,1550,1527,2022
"g29222",557,367,635,313,470,374,203,517,283
"g29220",2811,2625,3118,1770,2428,1829,1624,2402,1961
"g29229",194,163,193,155,150,93,73,115,100
"g36061",751,680,478,328,277,241,152,413,177
