,gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast,cluster
1,adi2mcaRNA10013_R0,3289.941691,-0.284185432,0.105208655,-2.701160204,0.006909805,0.043512271,l_vs_amb,2
2,adi2mcaRNA10073_R0,6048.385212,-0.501210312,0.102271593,-4.900777404,9.55E-07,4.57E-05,l_vs_amb,2
3,adi2mcaRNA10073_R0,6048.385212,-0.501210312,0.102271593,-4.900777404,9.55E-07,4.57E-05,l_vs_amb,2
4,adi2mcaRNA10073_R0,6048.385212,0.514029056,0.102248448,5.027255328,4.98E-07,9.58E-05,xl_vs_l,2
5,adi2mcaRNA10073_R0,6048.385212,0.514029056,0.102248448,5.027255328,4.98E-07,9.58E-05,xl_vs_l,2
6,adi2mcaRNA1022_R0,954.594204,0.616916715,0.16232172,3.80058021,0.000144358,0.002468136,l_vs_amb,1
7,adi2mcaRNA10243_R2,391.319386,0.473421453,0.151868901,3.117303482,0.001825136,0.031298304,xl_vs_l,2
8,adi2mcaRNA10298_R0,8774.665657,0.439103203,0.152096776,2.886998755,0.003889358,0.029072474,l_vs_amb,1
9,adi2mcaRNA10298_R0,8774.665657,0.439103203,0.152096776,2.886998755,0.003889358,0.029072474,l_vs_amb,1
10,adi2mcaRNA10298_R0,8774.665657,-0.505145738,0.152098757,-3.321169398,0.000896411,0.019569164,xl_vs_l,1
11,adi2mcaRNA10298_R0,8774.665657,-0.505145738,0.152098757,-3.321169398,0.000896411,0.019569164,xl_vs_l,1
12,adi2mcaRNA10307_R0,363.8291727,-0.432151973,0.159088587,-2.716423473,0.006599145,0.04217586,l_vs_amb,2
13,adi2mcaRNA10333_R0,467.4559015,-0.491623644,0.150507162,-3.266446854,0.001089062,0.01143099,l_vs_amb,2
14,adi2mcaRNA10406_R0,2849.130588,0.40906415,0.11803462,3.465628543,0.000528994,0.006689864,l_vs_amb,1
15,adi2mcaRNA10482_R1,72.02700151,-0.851261813,0.296704396,-2.86905696,0.004116977,0.03025962,l_vs_amb,2
16,adi2mcaRNA10492_R0,551.2857145,0.454439867,0.166875158,2.723232579,0.006464653,0.041576782,l_vs_amb,1
17,adi2mcaRNA10579_R0,1088.841835,-0.401102344,0.137789653,-2.910975777,0.003603019,0.027576808,l_vs_amb,2
18,adi2mcaRNA10629_R0,840.5966689,-0.395020867,0.131770482,-2.997794813,0.002719407,0.022454754,l_vs_amb,2
19,adi2mcaRNA10631_R0,790.0679464,-0.44733188,0.156912547,-2.850835632,0.00436045,0.031378545,l_vs_amb,2
20,adi2mcaRNA10635_R0,4415.525885,-0.326488232,0.116482319,-2.802899494,0.005064545,0.034965435,l_vs_amb,2
21,adi2mcaRNA10691_R3,1298.713279,-0.476577235,0.164776549,-2.892263726,0.003824767,0.028741714,l_vs_amb,2
22,adi2mcaRNA10809_R0,3997.082814,0.785673081,0.200246637,3.923526972,8.73E-05,0.001684156,l_vs_amb,1
23,adi2mcaRNA10809_R0,3997.082814,0.785673081,0.200246637,3.923526972,8.73E-05,0.001684156,l_vs_amb,1
24,adi2mcaRNA10809_R0,3997.082814,-0.708099671,0.200199363,-3.536972641,0.000404742,0.011328038,xl_vs_l,1
25,adi2mcaRNA10809_R0,3997.082814,-0.708099671,0.200199363,-3.536972641,0.000404742,0.011328038,xl_vs_l,1
26,adi2mcaRNA11011_R0,74.31345824,0.875431597,0.299549158,2.922497271,0.003472367,0.026913354,l_vs_amb,1
27,adi2mcaRNA11042_R0,1747.832564,-0.403101702,0.13721459,-2.937746654,0.003306071,0.025899106,l_vs_amb,2
28,adi2mcaRNA11042_R0,1747.832564,-0.403101702,0.13721459,-2.937746654,0.003306071,0.025899106,l_vs_amb,2
29,adi2mcaRNA11042_R0,1747.832564,0.482999634,0.137095149,3.523097922,0.000426534,0.011817204,xl_vs_l,2
30,adi2mcaRNA11042_R0,1747.832564,0.482999634,0.137095149,3.523097922,0.000426534,0.011817204,xl_vs_l,2
31,adi2mcaRNA11044_R0,436.1258821,-0.604402002,0.18057811,-3.347039143,0.000816797,0.009190251,l_vs_amb,2
32,adi2mcaRNA11167_R0,3458.767195,-0.412182833,0.121799775,-3.384101748,0.000714115,0.016838694,xl_vs_l,1
33,adi2mcaRNA11167_R0,3458.767195,-0.412182833,0.121799775,-3.384101748,0.000714115,0.016838694,xl_vs_l,1
34,adi2mcaRNA11167_R0,3458.767195,0.674159696,0.122001381,5.525836586,3.28E-08,2.79E-06,l_vs_amb,1
35,adi2mcaRNA11167_R0,3458.767195,0.674159696,0.122001381,5.525836586,3.28E-08,2.79E-06,l_vs_amb,1
36,adi2mcaRNA11174_R0,1493.477117,-0.320046394,0.10832932,-2.954383864,0.00313294,0.024907347,l_vs_amb,2
37,adi2mcaRNA11233_R0,2466.980258,-0.362083775,0.11104984,-3.26055196,0.001111956,0.011620211,l_vs_amb,2
38,adi2mcaRNA11392_R0,169.2088632,-0.620938762,0.208695013,-2.975340682,0.002926633,0.02365042,l_vs_amb,2
39,adi2mcaRNA1144_R0,1995.296823,0.462398827,0.137603525,3.360370505,0.00077838,0.008883983,l_vs_amb,1
40,adi2mcaRNA11548_R0,3546.526349,0.64796907,0.140994783,4.595695374,4.31E-06,0.000952193,xl_vs_amb,1
41,adi2mcaRNA11548_R0,3546.526349,0.64796907,0.140994783,4.595695374,4.31E-06,0.000952193,xl_vs_amb,1
42,adi2mcaRNA11548_R0,3546.526349,0.794779297,0.141013897,5.636177095,1.74E-08,1.58E-06,l_vs_amb,1
43,adi2mcaRNA11548_R0,3546.526349,0.794779297,0.141013897,5.636177095,1.74E-08,1.58E-06,l_vs_amb,1
44,adi2mcaRNA1155_R0,325.6298565,0.578137017,0.199979884,2.89097586,0.003840476,0.028827793,l_vs_amb,1
45,adi2mcaRNA11551_R0,5272.393337,0.584407069,0.10926715,5.348424189,8.87E-08,6.21E-06,l_vs_amb,1
46,adi2mcaRNA11551_R0,5272.393337,0.584407069,0.10926715,5.348424189,8.87E-08,6.21E-06,l_vs_amb,1
47,adi2mcaRNA11551_R0,5272.393337,0.527964147,0.109216146,4.834121737,1.34E-06,0.00035504,xl_vs_amb,1
48,adi2mcaRNA11551_R0,5272.393337,0.527964147,0.109216146,4.834121737,1.34E-06,0.00035504,xl_vs_amb,1
49,adi2mcaRNA11640_R1,452.4193257,0.568519834,0.173048634,3.285318246,0.001018672,0.010842798,l_vs_amb,1
50,adi2mcaRNA11645_R0,2911.635923,-0.317247642,0.112798602,-2.812513955,0.004915589,0.034179378,l_vs_amb,2
51,adi2mcaRNA11654_R0,1306.200004,-0.428939198,0.137427443,-3.121204833,0.001801127,0.030914242,xl_vs_l,1
52,adi2mcaRNA11698_R0,429.0680999,-0.505524595,0.171971859,-2.939577422,0.003286601,0.025790793,l_vs_amb,2
53,adi2mcaRNA11787_R1,1077.399026,-0.605030578,0.168580141,-3.588978956,0.000331976,0.004725524,l_vs_amb,2
54,adi2mcaRNA11812_R1,1065.844298,1.561098723,0.232985864,6.700401037,2.08E-11,4.63E-08,xl_vs_l,2
55,adi2mcaRNA11812_R1,1065.844298,1.561098723,0.232985864,6.700401037,2.08E-11,4.63E-08,xl_vs_l,2
56,adi2mcaRNA11812_R1,1065.844298,1.005363435,0.231949193,4.334412306,1.46E-05,0.002273841,xl_vs_amb,2
57,adi2mcaRNA11812_R1,1065.844298,1.005363435,0.231949193,4.334412306,1.46E-05,0.002273841,xl_vs_amb,2
58,adi2mcaRNA11890_R1,1341.602055,-0.502314852,0.15898559,-3.159499253,0.001580405,0.015011524,l_vs_amb,2
59,adi2mcaRNA11892_R0,174.64633,0.835576868,0.213969117,3.905128366,9.42E-05,0.001786997,l_vs_amb,1
