sample_ID,time_point,treatment,TANK_NUM,metric_id,width1,width2
124,Eggs,,,124_egg_1,0.521,0.404
124,Eggs,,,124_egg_2,0.49,0.424
124,Eggs,,,124_egg_3,0.559,0.361
124,Eggs,,,124_egg_4,0.491,0.337
124,Eggs,,,124_egg_5,0.537,0.44
124,Eggs,,,124_egg_6,0.538,0.402
124,Eggs,,,124_egg_7,0.607,0.511
124,Eggs,,,124_egg_8,0.581,0.469
124,Eggs,,,124_egg_9,0.471,0.545
124,Eggs,,,124_egg_10,0.444,0.474
124,Eggs,,,124_egg_11,0.541,0.433
124,Eggs,,,124_egg_12,0.429,0.448
124,Eggs,,,124_egg_13,0.484,0.459
124,Eggs,,,124_egg_14,0.385,0.379
124,Eggs,,,124_egg_15,0.534,0.494
124,Eggs,,,124_egg_16,0.501,0.51
124,Eggs,,,124_egg_17,0.524,0.45
124,Eggs,,,124_egg_18,0.463,0.38
124,Eggs,,,124_egg_19,0.531,0.461
124,Eggs,,,124_egg_20,0.494,0.455
124,Eggs,,,124_egg_21,0.448,0.419
124,Eggs,,,124_egg_22,0.328,0.313
124,Eggs,,,124_egg_23,0.54,0.428
124,Eggs,,,124_egg_24,0.539,0.449
124,Eggs,,,124_egg_25,0.326,0.31
125,Eggs,,,125_egg_1,0.589,0.45
125,Eggs,,,125_egg_2,0.387,0.489
125,Eggs,,,125_egg_3,0.565,0.36
125,Eggs,,,125_egg_4,0.36,0.307
125,Eggs,,,125_egg_5,0.606,0.362
125,Eggs,,,125_egg_6,0.453,0.498
125,Eggs,,,125_egg_7,0.441,0.35
125,Eggs,,,125_egg_8,0.532,0.469
125,Eggs,,,125_egg_9,0.513,0.387
125,Eggs,,,125_egg_10,0.479,0.423
125,Eggs,,,125_egg_11,0.493,0.445
125,Eggs,,,125_egg_12,0.669,0.468
125,Eggs,,,125_egg_13,0.843,0.308
125,Eggs,,,125_egg_14,0.559,0.481
125,Eggs,,,125_egg_15,0.228,0.261
125,Eggs,,,125_egg_16,0.291,0.233
125,Eggs,,,125_egg_17,0.225,0.153
125,Eggs,,,125_egg_18,0.293,0.183
125,Eggs,,,125_egg_19,0.196,0.131
125,Eggs,,,125_egg_20,0.276,0.234
125,Eggs,,,125_egg_21,0.175,0.207
125,Eggs,,,125_egg_22,0.231,0.276
125,Eggs,,,125_egg_23,0.169,0.194
125,Eggs,,,125_egg_24,0.298,0.268
125,Eggs,,,125_egg_25,0.126,0.151
135,Fertilized_embryos,AMB,1,135_fertilzed_embryos_1,0.456,0.464
135,Fertilized_embryos,AMB,1,135_fertilzed_embryos_2,0.424,0.436
135,Fertilized_embryos,AMB,1,135_fertilzed_embryos_3,0.435,0.466
135,Fertilized_embryos,AMB,1,135_fertilzed_embryos_4,0.42,0.464
135,Fertilized_embryos,AMB,1,135_fertilzed_embryos_5,0.449,0.473
135,Fertilized_embryos,AMB,1,135_fertilzed_embryos_6,0.465,0.469
135,Fertilized_embryos,AMB,1,135_fertilzed_embryos_7,0.425,0.446
135,Fertilized_embryos,AMB,1,135_fertilzed_embryos_8,0.44,0.456
135,Fertilized_embryos,AMB,1,135_fertilzed_embryos_9,0.426,0.474
135,Fertilized_embryos,AMB,1,135_fertilzed_embryos_10,0.379,0.401
135,Fertilized_embryos,AMB,1,135_fertilzed_embryos_11,0.479,0.476
135,Fertilized_embryos,AMB,1,135_fertilzed_embryos_12,0.412,0.44
135,Fertilized_embryos,AMB,1,135_fertilzed_embryos_13,0.424,0.454
135,Fertilized_embryos,AMB,1,135_fertilzed_embryos_14,0.424,0.448
135,Fertilized_embryos,AMB,1,135_fertilzed_embryos_15,0.425,0.453
135,Fertilized_embryos,AMB,1,135_fertilzed_embryos_16,0.448,0.477
135,Fertilized_embryos,AMB,1,135_fertilzed_embryos_17,0.447,0.435
135,Fertilized_embryos,AMB,1,135_fertilzed_embryos_18,0.405,0.439
135,Fertilized_embryos,AMB,1,135_fertilzed_embryos_19,0.474,0.458
135,Fertilized_embryos,AMB,1,135_fertilzed_embryos_20,0.438,0.441
135,Fertilized_embryos,AMB,1,135_fertilzed_embryos_21,0.416,0.452
135,Fertilized_embryos,AMB,1,135_fertilzed_embryos_22,0.494,0.475
135,Fertilized_embryos,AMB,1,135_fertilzed_embryos_23,0.463,0.474
135,Fertilized_embryos,AMB,1,135_fertilzed_embryos_24,0.453,0.48
135,Fertilized_embryos,AMB,1,135_fertilzed_embryos_25,0.44,0.446
136,Fertilized_embryos,AMB,2,136_fertilzed_embryos_1,0.366,0.385
136,Fertilized_embryos,AMB,2,136_fertilzed_embryos_2,0.51,0.426
136,Fertilized_embryos,AMB,2,136_fertilzed_embryos_3,0.378,0.378
136,Fertilized_embryos,AMB,2,136_fertilzed_embryos_4,0.501,0.483
136,Fertilized_embryos,AMB,2,136_fertilzed_embryos_5,0.417,0.414
136,Fertilized_embryos,AMB,2,136_fertilzed_embryos_6,0.458,0.427
136,Fertilized_embryos,AMB,2,136_fertilzed_embryos_7,0.468,0.48
136,Fertilized_embryos,AMB,2,136_fertilzed_embryos_8,0.434,0.44
136,Fertilized_embryos,AMB,2,136_fertilzed_embryos_9,0.471,0.441
136,Fertilized_embryos,AMB,2,136_fertilzed_embryos_10,0.432,0.418
136,Fertilized_embryos,AMB,2,136_fertilzed_embryos_11,0.464,0.413
136,Fertilized_embryos,AMB,2,136_fertilzed_embryos_12,0.423,0.399
136,Fertilized_embryos,AMB,2,136_fertilzed_embryos_13,0.437,0.43
136,Fertilized_embryos,AMB,2,136_fertilzed_embryos_14,0.382,0.377
136,Fertilized_embryos,AMB,2,136_fertilzed_embryos_15,0.42,0.433
136,Fertilized_embryos,AMB,2,136_fertilzed_embryos_16,0.479,0.482
136,Fertilized_embryos,AMB,2,136_fertilzed_embryos_17,0.45,0.482
136,Fertilized_embryos,AMB,2,136_fertilzed_embryos_18,0.449,0.452
136,Fertilized_embryos,AMB,2,136_fertilzed_embryos_19,0.434,0.407
136,Fertilized_embryos,AMB,2,136_fertilzed_embryos_20,0.476,0.459
136,Fertilized_embryos,AMB,2,136_fertilzed_embryos_21,0.438,0.432
136,Fertilized_embryos,AMB,2,136_fertilzed_embryos_22,0.453,0.48
136,Fertilized_embryos,AMB,2,136_fertilzed_embryos_23,0.423,0.478
136,Fertilized_embryos,AMB,2,136_fertilzed_embryos_24,0.449,0.472
136,Fertilized_embryos,AMB,2,136_fertilzed_embryos_25,0.484,0.456
137,Fertilized_embryos,l,3,137_fertilzed_embryos_1,0.493,0.457
137,Fertilized_embryos,l,3,137_fertilzed_embryos_2,0.438,0.49
137,Fertilized_embryos,l,3,137_fertilzed_embryos_3,0.43,0.459
137,Fertilized_embryos,l,3,137_fertilzed_embryos_4,0.416,0.465
137,Fertilized_embryos,l,3,137_fertilzed_embryos_5,0.471,0.463
137,Fertilized_embryos,l,3,137_fertilzed_embryos_6,0.44,0.447
137,Fertilized_embryos,l,3,137_fertilzed_embryos_7,0.446,0.447
137,Fertilized_embryos,l,3,137_fertilzed_embryos_8,0.406,0.426
137,Fertilized_embryos,l,3,137_fertilzed_embryos_9,0.453,0.431
137,Fertilized_embryos,l,3,137_fertilzed_embryos_10,0.433,0.45
137,Fertilized_embryos,l,3,137_fertilzed_embryos_11,0.486,0.418
137,Fertilized_embryos,l,3,137_fertilzed_embryos_12,0.439,0.463
137,Fertilized_embryos,l,3,137_fertilzed_embryos_13,0.411,0.434
137,Fertilized_embryos,l,3,137_fertilzed_embryos_14,0.426,0.464
137,Fertilized_embryos,l,3,137_fertilzed_embryos_15,0.446,0.456
137,Fertilized_embryos,l,3,137_fertilzed_embryos_16,0.457,0.432
137,Fertilized_embryos,l,3,137_fertilzed_embryos_17,0.438,0.425
137,Fertilized_embryos,l,3,137_fertilzed_embryos_18,0.411,0.428
137,Fertilized_embryos,l,3,137_fertilzed_embryos_19,0.411,0.427
137,Fertilized_embryos,l,3,137_fertilzed_embryos_20,0.428,0.44
137,Fertilized_embryos,l,3,137_fertilzed_embryos_21,0.438,0.462
137,Fertilized_embryos,l,3,137_fertilzed_embryos_22,0.407,0.433
137,Fertilized_embryos,l,3,137_fertilzed_embryos_23,0.476,0.452
137,Fertilized_embryos,l,3,137_fertilzed_embryos_24,0.427,0.447
137,Fertilized_embryos,l,3,137_fertilzed_embryos_25,0.403,0.448
138,Fertilized_embryos,xl,4,138_fertilzed_embryos_1,0.45,0.449
138,Fertilized_embryos,xl,4,138_fertilzed_embryos_2,0.457,0.465
138,Fertilized_embryos,xl,4,138_fertilzed_embryos_3,0.386,0.421
138,Fertilized_embryos,xl,4,138_fertilzed_embryos_4,0.478,0.486
138,Fertilized_embryos,xl,4,138_fertilzed_embryos_5,0.406,0.454
138,Fertilized_embryos,xl,4,138_fertilzed_embryos_6,0.468,0.458
138,Fertilized_embryos,xl,4,138_fertilzed_embryos_7,0.453,0.478
138,Fertilized_embryos,xl,4,138_fertilzed_embryos_8,0.471,0.461
138,Fertilized_embryos,xl,4,138_fertilzed_embryos_9,0.41,0.436
138,Fertilized_embryos,xl,4,138_fertilzed_embryos_10,0.41,0.41
138,Fertilized_embryos,xl,4,138_fertilzed_embryos_11,0.4,0.425
138,Fertilized_embryos,xl,4,138_fertilzed_embryos_12,0.446,0.466
138,Fertilized_embryos,xl,4,138_fertilzed_embryos_13,0.477,0.492
138,Fertilized_embryos,xl,4,138_fertilzed_embryos_14,0.446,0.451
138,Fertilized_embryos,xl,4,138_fertilzed_embryos_15,0.441,0.446
138,Fertilized_embryos,xl,4,138_fertilzed_embryos_16,0.472,0.451
138,Fertilized_embryos,xl,4,138_fertilzed_embryos_17,0.4,0.405
138,Fertilized_embryos,xl,4,138_fertilzed_embryos_18,0.441,0.471
138,Fertilized_embryos,xl,4,138_fertilzed_embryos_19,0.446,0.477
138,Fertilized_embryos,xl,4,138_fertilzed_embryos_20,0.451,0.461
138,Fertilized_embryos,xl,4,138_fertilzed_embryos_21,0.411,0.437
138,Fertilized_embryos,xl,4,138_fertilzed_embryos_22,0.487,0.487
138,Fertilized_embryos,xl,4,138_fertilzed_embryos_23,0.446,0.451
138,Fertilized_embryos,xl,4,138_fertilzed_embryos_24,0.42,0.415
138,Fertilized_embryos,xl,4,138_fertilzed_embryos_25,0.466,0.461
