"ontology","slim_term","slim_cat","category","term","over_represented_pvalue","numDEInCat","numInCat","dir","genes"
"BP","biosynthetic process","GO:0009058","GO:0000122","negative regulation of transcription by RNA polymerase II",0.0237476292283339,1,4,"C1 (Up)","g58547"
"BP","biosynthetic process","GO:0009058","GO:0006183","GTP biosynthetic process",0.0356835089091345,1,6,"C1 (Up)","g51181"
"BP","biosynthetic process","GO:0009058","GO:0006228","UTP biosynthetic process",0.0356835089091345,1,6,"C1 (Up)","g51181"
"BP","biosynthetic process","GO:0009058","GO:0006231","dTMP biosynthetic process",0.0117414723592941,1,2,"C1 (Up)","g30099"
"BP","biosynthetic process","GO:0009058","GO:0006241","CTP biosynthetic process",0.0402373767524427,1,7,"C1 (Up)","g51181"
"BP","biosynthetic process","GO:0009058","GO:0006275","regulation of DNA replication",0.000367649721076554,2,5,"C1 (Up)","g43600, g5394"
"BP","biosynthetic process","GO:0009058","GO:0006352","DNA-templated transcription, initiation",0.00302655615643474,2,14,"C1 (Up)","adi2mcaRNA25316_R4, adi2mcaRNA25316_R5"
"BP","biosynthetic process","GO:0009058","GO:0009263","deoxyribonucleotide biosynthetic process",0.00564344685603395,1,1,"C1 (Up)","g53997"
"BP","biosynthetic process","GO:0009058","GO:0009890","negative regulation of biosynthetic process",0.00637599637938873,1,1,"C1 (Up)","g66167"
"BP","biosynthetic process","GO:0009058","GO:1903507","negative regulation of nucleic acid-templated transcription",0.00638709062766224,1,1,"C1 (Up)","g22568"
"BP","biosynthetic process","GO:0009058","GO:1990426","mitotic recombination-dependent replication fork processing",0.00578429160842313,1,1,"C1 (Up)","g34992"
"BP","cell cycle","GO:0007049","GO:0000070","mitotic sister chromatid segregation",0.0117556789955218,1,2,"C1 (Up)","g22336"
"BP","cell cycle","GO:0007049","GO:0000281","mitotic cytokinesis",0.00826217909185602,1,2,"C1 (Up)","g48120"
"BP","cell cycle","GO:0007049","GO:0007051","spindle organization",0.0118868157119514,1,2,"C1 (Up)","g12315"
"BP","cell cycle","GO:0007049","GO:0040001","establishment of mitotic spindle localization",0.00558672786227835,1,1,"C1 (Up)","g48120"
"BP","cell motility","GO:0048870","GO:0060294","cilium movement involved in cell motility",0.0163202279260167,1,3,"C1 (Up)","g22529"
"BP","cellular component assembly","GO:0022607","GO:0000027","ribosomal large subunit assembly",0.0123310593487353,1,2,"C1 (Up)","g56996"
"BP","cellular component assembly","GO:0022607","GO:0006334","nucleosome assembly",1.97065581230923e-19,13,41,"C1 (Up)","g16180, g16183, g17877, g17879, g19731, g19732, g19733, g33802, g33804, g33806, g33809, g33812, g33815"
"BP","cellular component assembly","GO:0022607","GO:0051382","kinetochore assembly",0.0421355126053472,1,7,"C1 (Up)","g6558"
