sample_id,time_point,treatment,extraction_batch
X119,Unfertilized_egg,amb,0
X120,Unfertilized_egg,amb,0
X121,Unfertilized_egg,amb,12
X127,Fertilized_egg,amb,10
X128,Fertilized_egg,l,11
X129,Fertilized_egg,xl,10
X130,Fertilized_egg,xl,8
X131,Fertilized_egg,l,11
X132,Fertilized_egg,amb,10
X133,Fertilized_egg,l,9
X134,Fertilized_egg,xl,11
X153,Cleavage,amb,9
X154,Cleavage,amb,8
X155,Cleavage,l,9
X156,Cleavage,xl,8
X157,Cleavage,xl,11
X158,Cleavage,l,9
X159,Cleavage,amb,11
X160,Cleavage,l,9
X162,Prawn_chip,amb,10
X163,Prawn_chip,amb,8
X164,Prawn_chip,l,8
X165,Prawn_chip,xl,8
X166,Prawn_chip,l,9
X167,Prawn_chip,amb,10
X168,Prawn_chip,l,10
X169,Prawn_chip,xl,9
X179,Early_gastrula,amb,10
X180,Early_gastrula,amb,11
X181,Early_gastrula,l,8
X182,Early_gastrula,xl,8
X183,Early_gastrula,l,12
X184,Early_gastrula,amb,12
X185,Early_gastrula,l,10
X186,Early_gastrula,xl,12
X359,Planula,amb,5
X361,Planula,amb,7
X363,Planula,xl,2
X365,Planula,xl,7
X367,Planula,xl,3
X371,Planula,l,4
X373,Planula,l,7
X375,Planula,amb,5
X379,Planula,l,4
