Titration report,,,,, ,
Method,,,,,,
Method ID,,000,,"Release state
",Released,
Name,,URIBioMin,,Modified by,SystemInternal,
Modified on,,5/29/2018 11:13:39 AM,,,,
Titration (EP) [1],,"Scope 1/1, Sample 1/3",,,,
Measured Values,,"Scope 1/1, Sample 1/3",,,,
Time,V,Meas. value,dV,Temp.,dE,EP
[s],[mL],[mV],[mL],[°C],[mV],
0,0.0000,-37.8,,25.1,,
1,0.0010,-37.9,0.0010,25.0,-0.1,
2,0.0025,-37.9,0.0015,25.1,0.0,
3,0.0050,-37.9,0.0025,25.1,0.0,
4,0.0085,-37.9,0.0035,25.1,0.0,
5,0.0145,-37.8,0.0060,25.0,0.1,
6,0.0230,-37.6,0.0085,25.0,0.2,
7,0.0315,-37.1,0.0085,25.0,0.5,
8,0.0400,-36.5,0.0085,25.0,0.6,
9,0.0475,-35.7,0.0075,25.0,0.8,
10,0.0560,-34.7,0.0085,25.0,1.0,
11,0.0645,-33.5,0.0085,25.0,1.2,
12,0.0730,-32.2,0.0085,25.0,1.3,
13,0.0815,-30.8,0.0085,25.0,1.4,
14,0.0900,-29.2,0.0085,25.0,1.6,
15,0.0975,-27.9,0.0075,25.0,1.3,
16,0.1060,-26.2,0.0085,25.0,1.7,
17,0.1145,-24.5,0.0085,25.0,1.7,
18,0.1230,-22.7,0.0085,25.0,1.8,
19,0.1315,-20.8,0.0085,25.0,1.9,
20,0.1400,-18.9,0.0085,25.0,1.9,
21,0.1475,-17.2,0.0075,25.0,1.7,
22,0.1560,-15.2,0.0085,25.0,2.0,
23,0.1645,-13.4,0.0085,25.0,1.8,
24,0.1730,-11.7,0.0085,25.0,1.7,
25,0.1815,-10.0,0.0085,25.0,1.7,
26,0.1900,-8.5,0.0085,25.0,1.5,
27,0.1975,-7.2,0.0075,25.0,1.3,
28,0.2060,-5.4,0.0085,25.0,1.8,
29,0.2145,-3.6,0.0085,25.0,1.8,
30,0.2230,-1.8,0.0085,25.0,1.8,
31,0.2315,-0.2,0.0085,25.0,1.6,
32,0.2400,-0.4,0.0085,25.0,-0.2,
33,0.2485,0.6,0.0085,25.0,1.0,
34,0.2560,2.6,0.0075,25.0,2.0,
35,0.2645,3.7,0.0085,25.0,1.1,
36,0.2730,4.7,0.0085,25.0,1.0,
37,0.2815,5.5,0.0085,25.0,0.8,
38,0.2900,6.2,0.0085,25.0,0.7,
39,0.2985,7.4,0.0085,25.0,1.2,
40,0.3060,8.6,0.0075,25.0,1.2,
41,0.3145,10.0,0.0085,25.0,1.4,
42,0.3230,11.1,0.0085,25.0,1.1,
43,0.3315,12.3,0.0085,25.0,1.2,
44,0.3400,13.3,0.0085,25.0,1.0,
45,0.3485,14.4,0.0085,25.0,1.1,
46,0.3570,15.3,0.0085,25.0,0.9,
47,0.3645,16.2,0.0075,25.0,0.9,
48,0.3730,17.2,0.0085,25.0,1.0,
49,0.3815,18.2,0.0085,25.0,1.0,
50,0.3900,19.2,0.0085,25.0,1.0,
51,0.3985,20.1,0.0085,25.0,0.9,
52,0.4070,21.1,0.0085,25.0,1.0,
53,0.4145,22.0,0.0075,25.0,0.9,
54,0.4230,22.9,0.0085,25.0,0.9,
55,0.4315,23.9,0.0085,25.0,1.0,
56,0.4400,24.8,0.0085,25.0,0.9,
57,0.4485,25.8,0.0085,25.0,1.0,
58,0.4570,26.7,0.0085,25.0,0.9,
59,0.4655,27.6,0.0085,25.0,0.9,
60,0.4730,28.5,0.0075,25.0,0.9,
61,0.4815,29.4,0.0085,25.0,0.9,
62,0.4900,30.4,0.0085,25.0,1.0,
63,0.4985,31.4,0.0085,25.0,1.0,
64,0.5070,32.3,0.0085,25.0,0.9,
65,0.5150,33.2,0.0080,25.0,0.9,
66,0.5235,34.1,0.0085,25.0,0.9,
67,0.5315,34.9,0.0080,25.0,0.8,
68,0.5400,35.9,0.0085,25.0,1.0,
69,0.5485,36.7,0.0085,25.0,0.8,
70,0.5570,37.5,0.0085,25.0,0.8,
71,0.5655,38.5,0.0085,25.0,1.0,
72,0.5740,39.4,0.0085,25.0,0.9,
73,0.5815,40.2,0.0075,25.0,0.8,
74,0.5900,41.2,0.0085,25.0,1.0,
75,0.5985,42.1,0.0085,25.0,0.9,
76,0.6070,43.0,0.0085,25.0,0.9,
77,0.6155,43.9,0.0085,25.0,0.9,
78,0.6240,44.8,0.0085,25.0,0.9,
79,0.6315,45.6,0.0075,25.0,0.8,
80,0.6400,46.5,0.0085,25.0,0.9,
81,0.6485,47.5,0.0085,24.9,1.0,
82,0.6570,48.4,0.0085,24.9,0.9,
83,0.6655,49.2,0.0085,25.0,0.8,
84,0.6740,50.2,0.0085,25.0,1.0,
85,0.6815,51.0,0.0075,24.9,0.8,
86,0.6900,52.0,0.0085,24.9,1.0,
87,0.6985,52.8,0.0085,24.9,0.8,
88,0.7070,53.7,0.0085,24.9,0.9,
89,0.7155,54.6,0.0085,24.9,0.9,
90,0.7240,55.5,0.0085,24.9,0.9,
91,0.7325,56.2,0.0085,24.9,0.7,
92,0.7400,57.1,0.0075,24.9,0.9,
93,0.7485,58.0,0.0085,24.9,0.9,
94,0.7570,58.9,0.0085,24.9,0.9,
95,0.7655,59.8,0.0085,24.9,0.9,
96,0.7740,60.8,0.0085,24.9,1.0,
97,0.7825,61.7,0.0085,24.9,0.9,
98,0.7900,62.5,0.0075,24.9,0.8,
99,0.7985,63.4,0.0085,24.9,0.9,
100,0.8070,64.4,0.0085,24.9,1.0,
101,0.8155,65.4,0.0085,24.9,1.0,
102,0.8240,66.3,0.0085,24.9,0.9,
103,0.8325,67.4,0.0085,24.9,1.1,
104,0.8400,68.1,0.0075,24.9,0.7,
105,0.8485,69.0,0.0085,24.9,0.9,
106,0.8570,69.9,0.0085,24.9,0.9,
107,0.8655,70.8,0.0085,24.9,0.9,
108,0.8740,71.8,0.0085,24.9,1.0,
109,0.8825,72.8,0.0085,24.9,1.0,
110,0.8910,73.6,0.0085,24.9,0.8,
111,0.8985,74.5,0.0075,24.9,0.9,
112,0.9070,75.5,0.0085,24.9,1.0,
113,0.9155,76.5,0.0085,24.9,1.0,
114,0.9240,77.4,0.0085,24.9,0.9,
115,0.9325,78.3,0.0085,24.9,0.9,
116,0.9410,79.3,0.0085,24.9,1.0,
117,0.9485,80.2,0.0075,24.9,0.9,
118,0.9570,81.3,0.0085,24.9,1.1,
119,0.9655,82.3,0.0085,24.9,1.0,
120,0.9740,83.2,0.0085,24.9,0.9,
121,0.9825,84.3,0.0085,24.9,1.1,
122,0.9905,85.4,0.0080,24.9,1.1,
123,0.9990,86.3,0.0085,24.9,0.9,
124,1.0070,87.3,0.0080,24.9,1.0,
125,1.0155,88.4,0.0085,24.9,1.1,
126,1.0240,89.5,0.0085,24.9,1.1,
127,1.0325,90.7,0.0085,24.9,1.2,
128,1.0405,91.8,0.0080,24.9,1.1,
129,1.0490,92.9,0.0085,24.9,1.1,
130,1.0570,93.9,0.0080,24.9,1.0,
131,1.0655,95.2,0.0085,24.9,1.3,
132,1.0740,96.5,0.0085,24.9,1.3,
133,1.0825,97.8,0.0085,24.9,1.3,
134,1.0910,99.0,0.0085,24.9,1.2,
135,1.0990,100.4,0.0080,24.9,1.4,
136,1.1070,101.6,0.0080,24.9,1.2,
137,1.1155,102.9,0.0085,24.9,1.3,
138,1.1240,104.1,0.0085,24.9,1.2,
139,1.1325,105.6,0.0085,24.9,1.5,
140,1.1410,107.0,0.0085,24.9,1.4,
141,1.1495,108.3,0.0085,24.9,1.3,
142,1.1575,109.6,0.0080,24.9,1.3,
143,1.1655,111.3,0.0080,24.9,1.7,
144,1.1740,113.3,0.0085,24.9,2.0,
145,1.1825,115.4,0.0085,24.9,2.1,
146,1.1910,117.6,0.0085,24.9,2.2,
147,1.1995,119.9,0.0085,24.9,2.3,
148,1.2080,121.5,0.0085,24.9,1.6,
149,1.2155,123.2,0.0075,24.9,1.7,
150,1.2240,125.4,0.0085,24.9,2.2,
151,1.2325,127.7,0.0085,24.9,2.3,
152,1.2410,130.1,0.0085,24.9,2.4,
153,1.2495,133.0,0.0085,24.9,2.9,
154,1.2580,136.0,0.0085,24.9,3.0,
155,1.2655,138.7,0.0075,24.9,2.7,
156,1.2740,141.8,0.0085,24.9,3.1,
157,1.2825,145.0,0.0085,24.9,3.2,
158,1.2910,149.1,0.0085,24.9,4.1,
159,1.2995,152.5,0.0085,24.9,3.4,
