Titration report,,,,, ,
Method,,,,,,
Method ID,,000,,"Release state
",Released,
Name,,URIBioMin,,Modified by,SystemInternal,
Modified on,,5/29/2018 11:13:39 AM,,,,
Titration (EP) [1],,"Scope 1/1, Sample 1/3",,,,
Measured Values,,"Scope 1/1, Sample 1/3",,,,
Time,V,Meas. value,dV,Temp.,dE,EP
[s],[mL],[mV],[mL],[°C],[mV],
0,0.0000,-30.9,,26.3,,
1,0.0010,-31.5,0.0010,26.3,-0.6,
2,0.0025,-31.5,0.0015,26.3,0.0,
3,0.0050,-31.7,0.0025,26.3,-0.2,
4,0.0085,-31.7,0.0035,26.3,0.0,
5,0.0145,-31.7,0.0060,26.3,0.0,
6,0.0230,-31.6,0.0085,26.3,0.1,
7,0.0315,-31.3,0.0085,26.3,0.3,
8,0.0400,-30.8,0.0085,26.3,0.5,
9,0.0475,-30.2,0.0075,26.3,0.6,
10,0.0560,-29.5,0.0085,26.3,0.7,
11,0.0645,-28.6,0.0085,26.3,0.9,
12,0.0730,-27.6,0.0085,26.3,1.0,
13,0.0815,-26.5,0.0085,26.2,1.1,
14,0.0900,-25.3,0.0085,26.2,1.2,
15,0.0985,-24.2,0.0085,26.2,1.1,
16,0.1060,-22.9,0.0075,26.2,1.3,
17,0.1145,-21.5,0.0085,26.2,1.4,
18,0.1230,-19.9,0.0085,26.2,1.6,
19,0.1315,-18.3,0.0085,26.2,1.6,
20,0.1400,-16.6,0.0085,26.2,1.7,
21,0.1485,-15.0,0.0085,26.2,1.6,
22,0.1570,-13.5,0.0085,26.2,1.5,
23,0.1645,-11.9,0.0075,26.2,1.6,
24,0.1730,-10.3,0.0085,26.2,1.6,
25,0.1815,-8.8,0.0085,26.2,1.5,
26,0.1900,-7.5,0.0085,26.2,1.3,
27,0.1985,-5.9,0.0085,26.2,1.6,
28,0.2070,-4.0,0.0085,26.2,1.9,
29,0.2145,-2.6,0.0075,26.2,1.4,
30,0.2230,-1.1,0.0085,26.2,1.5,
31,0.2315,-0.9,0.0085,26.2,0.2,
32,0.2400,0.0,0.0085,26.2,0.9,
33,0.2485,1.2,0.0085,26.2,1.2,
34,0.2565,3.0,0.0080,26.2,1.8,
35,0.2650,4.0,0.0085,26.2,1.0,
36,0.2730,4.8,0.0080,26.2,0.8,
37,0.2815,5.5,0.0085,26.2,0.7,
38,0.2900,6.2,0.0085,26.2,0.7,
39,0.2980,7.1,0.0080,26.2,0.9,
40,0.3065,8.3,0.0085,26.2,1.2,
41,0.3150,9.5,0.0085,26.2,1.2,
42,0.3235,10.5,0.0085,26.2,1.0,
43,0.3315,11.5,0.0080,26.2,1.0,
44,0.3395,12.4,0.0080,26.2,0.9,
45,0.3480,13.3,0.0085,26.2,0.9,
46,0.3565,14.3,0.0085,26.2,1.0,
47,0.3650,15.2,0.0085,26.2,0.9,
48,0.3735,16.0,0.0085,26.2,0.8,
49,0.3810,16.8,0.0075,26.2,0.8,
50,0.3895,17.6,0.0085,26.2,0.8,
51,0.3980,18.5,0.0085,26.2,0.9,
52,0.4065,19.4,0.0085,26.2,0.9,
53,0.4150,20.2,0.0085,26.2,0.8,
54,0.4235,21.1,0.0085,26.2,0.9,
55,0.4320,21.9,0.0085,26.2,0.8,
56,0.4395,22.7,0.0075,26.2,0.8,
57,0.4480,23.6,0.0085,26.2,0.9,
58,0.4565,24.4,0.0085,26.2,0.8,
59,0.4650,25.2,0.0085,26.2,0.8,
60,0.4735,26.1,0.0085,26.2,0.9,
61,0.4820,26.9,0.0085,26.2,0.8,
62,0.4905,27.7,0.0085,26.2,0.8,
63,0.4980,28.5,0.0075,26.2,0.8,
64,0.5065,29.3,0.0085,26.2,0.8,
65,0.5150,30.1,0.0085,26.2,0.8,
66,0.5235,30.9,0.0085,26.2,0.8,
67,0.5320,31.7,0.0085,26.2,0.8,
68,0.5405,32.6,0.0085,26.2,0.9,
69,0.5490,33.3,0.0085,26.2,0.7,
70,0.5565,34.2,0.0075,26.2,0.9,
71,0.5650,35.0,0.0085,26.2,0.8,
72,0.5735,35.8,0.0085,26.2,0.8,
73,0.5820,36.7,0.0085,26.2,0.9,
74,0.5905,37.6,0.0085,26.2,0.9,
75,0.5990,38.4,0.0085,26.2,0.8,
76,0.6075,39.2,0.0085,26.2,0.8,
77,0.6150,40.1,0.0075,26.2,0.9,
78,0.6235,40.9,0.0085,26.2,0.8,
79,0.6320,41.8,0.0085,26.2,0.9,
80,0.6405,42.6,0.0085,26.2,0.8,
81,0.6490,43.3,0.0085,26.2,0.7,
82,0.6570,44.2,0.0080,26.2,0.9,
83,0.6650,44.9,0.0080,26.2,0.7,
84,0.6735,45.7,0.0085,26.2,0.8,
85,0.6820,46.6,0.0085,26.2,0.9,
86,0.6905,47.4,0.0085,26.2,0.8,
87,0.6990,48.2,0.0085,26.2,0.8,
88,0.7070,49.0,0.0080,26.2,0.8,
89,0.7155,50.0,0.0085,26.2,1.0,
90,0.7235,50.7,0.0080,26.2,0.7,
91,0.7320,51.6,0.0085,26.2,0.9,
92,0.7400,52.5,0.0080,26.2,0.9,
93,0.7485,53.3,0.0085,26.2,0.8,
94,0.7570,54.2,0.0085,26.2,0.9,
95,0.7655,55.1,0.0085,26.2,0.9,
96,0.7740,55.8,0.0085,26.2,0.7,
97,0.7815,56.7,0.0075,26.2,0.9,
98,0.7900,57.7,0.0085,26.2,1.0,
99,0.7985,58.6,0.0085,26.2,0.9,
100,0.8070,59.6,0.0085,26.2,1.0,
101,0.8155,60.7,0.0085,26.2,1.1,
102,0.8240,61.5,0.0085,26.2,0.8,
103,0.8315,62.2,0.0075,26.2,0.7,
104,0.8400,63.2,0.0085,26.2,1.0,
105,0.8485,64.0,0.0085,26.2,0.8,
106,0.8570,64.9,0.0085,26.1,0.9,
107,0.8655,65.9,0.0085,26.2,1.0,
108,0.8740,66.7,0.0085,26.1,0.8,
109,0.8825,67.6,0.0085,26.1,0.9,
110,0.8900,68.6,0.0075,26.1,1.0,
111,0.8985,69.5,0.0085,26.1,0.9,
112,0.9070,70.3,0.0085,26.1,0.8,
113,0.9155,71.3,0.0085,26.1,1.0,
114,0.9240,72.2,0.0085,26.1,0.9,
115,0.9325,73.2,0.0085,26.1,1.0,
116,0.9410,74.2,0.0085,26.1,1.0,
117,0.9485,75.3,0.0075,26.1,1.1,
118,0.9570,76.4,0.0085,26.1,1.1,
119,0.9655,77.3,0.0085,26.1,0.9,
120,0.9740,78.3,0.0085,26.1,1.0,
121,0.9825,79.3,0.0085,26.1,1.0,
122,0.9910,80.4,0.0085,26.1,1.1,
123,0.9985,81.3,0.0075,26.1,0.9,
124,1.0070,82.2,0.0085,26.1,0.9,
125,1.0155,83.3,0.0085,26.1,1.1,
126,1.0240,84.3,0.0085,26.1,1.0,
127,1.0325,85.7,0.0085,26.1,1.4,
128,1.0410,86.9,0.0085,26.1,1.2,
129,1.0495,88.1,0.0085,26.1,1.2,
130,1.0570,89.2,0.0075,26.1,1.1,
131,1.0655,90.4,0.0085,26.1,1.2,
132,1.0740,92.0,0.0085,26.1,1.6,
133,1.0825,93.4,0.0085,26.1,1.4,
134,1.0910,94.7,0.0085,26.1,1.3,
135,1.0995,95.9,0.0085,26.1,1.2,
136,1.1080,96.9,0.0085,26.1,1.0,
137,1.1155,98.2,0.0075,26.1,1.3,
138,1.1240,99.5,0.0085,26.1,1.3,
139,1.1325,101.1,0.0085,26.1,1.6,
140,1.1410,102.5,0.0085,26.1,1.4,
141,1.1495,104.1,0.0085,26.1,1.6,
142,1.1580,105.7,0.0085,26.1,1.6,
143,1.1655,107.6,0.0075,26.1,1.9,
144,1.1740,109.3,0.0085,26.1,1.7,
145,1.1825,111.2,0.0085,26.1,1.9,
146,1.1910,113.0,0.0085,26.1,1.8,
147,1.1995,115.0,0.0085,26.1,2.0,
148,1.2075,117.0,0.0080,26.1,2.0,
149,1.2160,119.2,0.0085,26.1,2.2,
150,1.2240,121.5,0.0080,26.1,2.3,
151,1.2325,123.9,0.0085,26.1,2.4,
152,1.2410,126.4,0.0085,26.1,2.5,
153,1.2490,129.0,0.0080,26.1,2.6,
154,1.2575,132.4,0.0085,26.1,3.4,
155,1.2660,136.1,0.0085,26.1,3.7,
156,1.2745,139.2,0.0085,26.1,3.1,
157,1.2825,143.2,0.0080,26.1,4.0,
158,1.2905,147.0,0.0080,26.1,3.8,
159,1.2990,150.6,0.0085,26.1,3.6,
