"","Date.Time","Tmp_XL","pH_XL","Salt_XL","Tmp_L","pH_L","Salt_L","Tmp_A","pH_A","Salt_A"
"4",2018-06-20 00:00:00,"28.2","7.40","31.7","28.2","7.62","32.4","27.9","7.86","35.5"
"5",2018-06-20 00:05:00,"28.2","7.38","31.7","28.2","7.60","32.4","27.9","7.86","35.4"
"6",2018-06-20 00:10:00,"28.2","7.38","31.7","28.2","7.60","32.4","27.9","7.86","35.5"
"7",2018-06-20 00:15:00,"28.2","7.41","31.7","28.2","7.60","32.4","27.9","7.85","35.5"
"8",2018-06-20 00:20:00,"28.2","7.39","31.7","28.2","7.62","32.4","27.9","7.85","35.5"
"9",2018-06-20 00:25:00,"28.2","7.38","31.7","28.2","7.60","32.4","27.9","7.85","35.5"
"10",2018-06-20 00:30:00,"28.2","7.39","31.7","28.2","7.60","32.4","27.9","7.85","35.4"
"11",2018-06-20 00:35:00,"28.2","7.40","31.7","28.2","7.60","32.4","27.9","7.85","35.5"
"12",2018-06-20 00:40:00,"28.2","7.38","31.7","28.2","7.62","32.4","27.9","7.85","35.4"
"13",2018-06-20 00:45:00,"28.2","7.38","31.7","28.1","7.62","32.4","27.9","7.85","35.4"
"14",2018-06-20 00:50:00,"28.2","7.41","31.7","28.1","7.60","32.3","27.9","7.85","35.4"
"15",2018-06-20 00:55:00,"28.2","7.38","31.9","28.1","7.60","32.3","27.9","7.85","35.4"
"16",2018-06-20 01:00:00,"28.2","7.37","31.9","28.1","7.60","32.3","27.9","7.85","35.4"
"17",2018-06-20 01:05:00,"28.2","7.39","31.9","28.1","7.62","32.3","27.9","7.85","35.4"
"18",2018-06-20 01:10:00,"28.2","7.40","31.9","28.1","7.60","32.3","27.9","7.85","35.4"
"19",2018-06-20 01:15:00,"28.2","7.38","31.9","28.1","7.60","32.2","28.0","7.85","35.4"
"20",2018-06-20 01:20:00,"28.2","7.37","31.9","28.1","7.60","32.2","28.0","7.85","35.4"
"21",2018-06-20 01:25:00,"28.2","7.41","31.9","28.1","7.62","32.2","28.0","7.85","35.4"
"22",2018-06-20 01:30:00,"28.2","7.38","31.9","28.1","7.60","32.2","28.0","7.85","35.4"
"23",2018-06-20 01:35:00,"28.2","7.38","31.9","28.1","7.60","32.2","28.0","7.85","35.4"
"24",2018-06-20 01:40:00,"28.2","7.39","31.9","28.1","7.60","32.2","28.0","7.85","35.4"
"25",2018-06-20 01:45:00,"28.2","7.40","31.9","28.1","7.62","32.2","28.0","7.85","35.4"
"26",2018-06-20 01:50:00,"28.2","7.38","31.9","28.1","7.62","32.1","28.0","7.85","35.4"
"27",2018-06-20 01:55:00,"28.2","7.38","31.9","28.1","7.60","32.2","28.0","7.85","35.4"
"28",2018-06-20 02:00:00,"28.2","7.41","31.9","28.1","7.60","32.1","28.0","7.85","35.4"
"29",2018-06-20 02:05:00,"28.2","7.38","31.9","28.1","7.62","32.0","28.0","7.85","35.4"
"30",2018-06-20 02:10:00,"28.2","7.37","31.9","28.1","7.62","32.0","28.0","7.85","35.4"
"31",2018-06-20 02:15:00,"28.2","7.39","31.9","28.1","7.60","32.0","28.0","7.85","35.4"
"32",2018-06-20 02:20:00,"28.2","7.39","31.9","28.1","7.60","32.0","28.0","7.85","35.4"
"33",2018-06-20 02:25:00,"28.2","7.38","31.9","28.1","7.60","32.0","28.0","7.85","35.4"
"34",2018-06-20 02:30:00,"28.2","7.38","31.9","28.1","7.62","32.0","28.0","7.85","35.4"
"35",2018-06-20 02:35:00,"28.2","7.40","31.9","28.1","7.60","32.0","28.0","7.85","35.4"
"36",2018-06-20 02:40:00,"28.2","7.37","31.9","28.1","7.60","32.0","28.0","7.85","35.4"
"37",2018-06-20 02:45:00,"28.2","7.37","31.9","28.1","7.60","32.0","28.0","7.85","35.4"
"38",2018-06-20 02:50:00,"28.2","7.41","31.9","28.1","7.62","32.0","28.0","7.85","35.4"
"39",2018-06-20 02:55:00,"28.2","7.39","31.9","28.1","7.62","31.9","28.0","7.85","35.4"
"40",2018-06-20 03:00:00,"28.2","7.37","31.9","28.1","7.60","31.9","28.0","7.85","35.4"
"41",2018-06-20 03:05:00,"28.2","7.41","31.9","28.1","7.60","31.9","28.0","7.85","35.4"
"42",2018-06-20 03:10:00,"28.1","7.39","31.9","28.1","7.60","31.9","28.0","7.85","35.3"
"43",2018-06-20 03:15:00,"28.1","7.38","31.9","28.1","7.62","31.9","28.0","7.84","35.3"
"44",2018-06-20 03:20:00,"28.1","7.40","31.9","28.1","7.60","31.9","28.0","7.84","35.3"
"45",2018-06-20 03:25:00,"28.1","7.37","31.9","28.1","7.60","31.9","28.0","7.84","35.3"
"46",2018-06-20 03:30:00,"28.1","7.38","31.9","28.1","7.60","31.9","28.0","7.83","35.3"
"47",2018-06-20 03:35:00,"28.1","7.40","31.9","28.1","7.60","31.9","28.0","7.83","35.3"
"48",2018-06-20 03:40:00,"28.1","7.37","31.9","28.1","7.62","31.9","27.9","7.83","35.3"
"49",2018-06-20 03:45:00,"28.1","7.38","31.9","28.1","7.60","31.7","27.9","7.83","35.3"
"50",2018-06-20 03:50:00,"28.1","7.40","31.9","28.1","7.60","31.7","28.0","7.83","35.3"
"51",2018-06-20 03:55:00,"28.1","7.37","31.9","28.1","7.60","31.7","28.0","7.82","35.3"
"52",2018-06-20 04:00:00,"28.1","7.39","31.9","28.1","7.60","31.7","28.0","7.82","35.3"
"53",2018-06-20 04:05:00,"28.1","7.39","31.9","28.1","7.62","31.7","28.0","7.82","35.3"
"54",2018-06-20 04:10:00,"28.2","7.37","31.9","28.1","7.60","31.7","28.0","7.82","35.3"
"55",2018-06-20 04:15:00,"28.2","7.41","31.9","28.1","7.60","31.6","28.0","7.82","35.3"
"56",2018-06-20 04:20:00,"28.2","7.37","31.9","28.1","7.60","31.7","28.0","7.81","35.3"
"57",2018-06-20 04:25:00,"28.1","7.38","31.9","28.1","7.60","31.8","28.0","7.81","35.3"
"58",2018-06-20 04:30:00,"28.1","7.40","31.9","28.1","7.62","31.8","28.0","7.81","35.3"
"59",2018-06-20 04:35:00,"28.1","7.37","31.9","28.1","7.60","31.6","28.0","7.81","35.3"
"60",2018-06-20 04:40:00,"28.1","7.38","31.9","28.1","7.60","31.7","28.0","7.81","35.3"
"61",2018-06-20 04:45:00,"28.1","7.40","31.9","28.1","7.60","31.6","28.0","7.81","35.3"
"62",2018-06-20 04:50:00,"28.1","7.37","31.9","28.1","7.62","31.8","28.0","7.81","35.3"
"63",2018-06-20 04:55:00,"28.1","7.39","31.9","28.1","7.60","31.8","28.0","7.81","35.3"
"64",2018-06-20 05:00:00,"28.1","7.38","31.9","28.1","7.60","31.8","28.0","7.81","35.3"
"65",2018-06-20 05:05:00,"28.1","7.37","31.9","28.1","7.60","31.8","28.0","7.81","35.3"
"66",2018-06-20 05:10:00,"28.1","7.39","31.9","28.1","7.60","31.8","28.0","7.81","35.3"
"67",2018-06-20 05:15:00,"28.1","7.39","31.7","28.1","7.62","31.7","28.0","7.81","35.3"
"68",2018-06-20 05:20:00,"28.1","7.37","31.8","28.1","7.60","31.6","28.0","7.81","35.3"
"69",2018-06-20 05:25:00,"28.1","7.39","31.8","28.1","7.60","31.7","28.0","7.81","35.3"
"70",2018-06-20 05:30:00,"28.1","7.38","31.8","28.1","7.60","31.8","28.0","7.81","35.3"
"71",2018-06-20 05:35:00,"28.2","7.37","31.8","28.1","7.62","31.7","28.0","7.81","35.3"
"72",2018-06-20 05:40:00,"28.1","7.39","31.8","28.1","7.62","31.7","28.0","7.81","35.2"
"73",2018-06-20 05:45:00,"28.1","7.38","31.8","28.1","7.60","31.6","28.0","7.81","35.2"
