"Sample.ID","TA","Mass","Tank","Type"
"20180613_CRM1",2204.44061991263,59.81,"CRM1","CRM"
"20180613_CRM2",2216.67195115669,59.31,"CRM2","CRM"
"20180613_CRM3",2222.06148438956,59.22,"CRM3","CRM"
"20180613_Conical8",2409.41088979383,59.49,"Conical8","Conical"
"20180613_Conical7",2196.27563775072,59.81,"Conical7","Conical"
"20180613_Conical9",2192.08443347518,59.17,"Conical9","Conical"
"20180613_Conical4",2196.15373559096,59.64,"Conical4","Conical"
"20180613_Conical3",2201.08026382282,59.65,"Conical3","Conical"
"20180613_Conical6",2196.45499398557,59.37,"Conical6","Conical"
"20180613_Conical1",2220.27259711442,59.49,"Conical1","Conical"
"20180613_Conical5",2196.44591844095,59.96,"Conical5","Conical"
"20180613_Conical2",2200.39510953688,59.65,"Conical2","Conical"
"20180613_Tank11",2204.67166604034,59.27,"Tank11","Tank"
"20180613_Tank10",2220.74607553591,59.93,"Tank10","Tank"
"20180613_Tank13",2198.20303410921,59.9,"Tank13","Tank"
"20180613_Tank12",2440.87025402546,59.51,"Tank12","Tank"
"20180613_Tank14",2192.5949912,59.54,"Tank14","Tank"
"20180613_Tank15",2195.39032732168,59.89,"Tank15","Tank"
"20180614_CRM1",2263.53477759388,59.34,"CRM1","CRM"
"20180614_CRM2",2227.45030241248,59.08,"CRM2","CRM"
"20180614_CRM3",2229.00214842164,59.03,"CRM3","CRM"
"20180614_Conical1",2203.69017567091,59.36,"Conical1","Conical"
"20180614_Conical2",2236.33939382099,59.87,"Conical2","Conical"
"20180614_Conical3",2187.29111616695,59.84,"Conical3","Conical"
"20180614_Conical4",2187.93610332695,59.68,"Conical4","Conical"
"20180614_Conical5",2237.0653079047,59.38,"Conical5","Conical"
"20180614_Conical6",2208.00298364001,59.65,"Conical6","Conical"
"20180614_Conical7",2205.96382444458,59.37,"Conical7","Conical"
"20180614_Conical8",2203.2065088425,59.37,"Conical8","Conical"
"20180614_Conical9",2224.18788554575,59.09,"Conical9","Conical"
"20180614_Tank15",2210.62718453265,59.4,"Tank15","Tank"
"20180614_Tank10",2201.18827370471,59.65,"Tank10","Tank"
"20180614_Tank11",2222.53451029263,59.08,"Tank11","Tank"
"20180614_Tank13",2268.10908832842,59.37,"Tank13","Tank"
"20180614_Tank12",2196.93226623291,59.73,"Tank12","Tank"
"20180614_Tank14",2199.34807445776,59.24,"Tank14","Tank"
"20180615_JUNK",2233.47455473796,59.17,"JUNK","JUNK"
"20180615_CRM1",2217.65721039499,59.54,"CRM1","CRM"
"20180615_CRM2",2222.0166798724,59.92,"CRM2","CRM"
"20180615_Tank12",2214.26046953189,59.21,"Tank12","Tank"
"20180615_Tank15",2198.90366907334,59.4,"Tank15","Tank"
"20180615_Tank11",2200.58792291888,59.46,"Tank11","Tank"
"20180615_Tank13",2203.95405762735,59.44,"Tank13","Tank"
"20180615_Tank10",2202.731152614,59.92,"Tank10","Tank"
"20180615_Tank14",2202.51997553026,59.55,"Tank14","Tank"
"20180615_Conical16",2201.72426346002,59.57,"Conical16","Conical"
"20180615_Conical17",2198.72480618361,59.01,"Conical17","Conical"
"20180615_Conical18",2198.28409593905,59.57,"Conical18","Conical"
"20180616_JUNK",2223.91375777391,59.64,"JUNK","JUNK"
"20180616_CRM1",2223.53504453784,59.32,"CRM1","CRM"
"20180616_CRM2",2259.66748514362,59.81,"CRM2","CRM"
"20180616_Tank10",2209.85756918948,59.02,"Tank10","Tank"
"20180616_Tank11",2203.2401169228,59,"Tank11","Tank"
"20180616_Tank12",2199.11962255168,59.31,"Tank12","Tank"
"20180616_Tank13",2197.01955610967,59.22,"Tank13","Tank"
"20180616_Tank14",2197.01000384647,59.75,"Tank14","Tank"
"20180616_Tank15",2201.8563632837,59.36,"Tank15","Tank"
"20180616_Conical16",2188.32832860843,59.01,"Conical16","Conical"
"20180616_Conical17",2187.59022347455,59.81,"Conical17","Conical"
"20180616_Conical18",2189.13668606455,59.27,"Conical18","Conical"
"20180617_JUNK",2224.02238205662,59.76,"JUNK","JUNK"
"20180617_CRM1",2224.97733074232,59.16,"CRM1","CRM"
"20180617_CRM2",2221.97972421452,59.98,"CRM2","CRM"
"20180617_Tank10",2206.61198226193,59.95,"Tank10","Tank"
"20180617_Tank11",2198.20992661368,59.09,"Tank11","Tank"
"20180617_Tank12",2189.66801634002,59.59,"Tank12","Tank"
"20180617_Tank13",2189.19360686454,59.63,"Tank13","Tank"
"20180617_Tank14",2194.74615620019,59.03,"Tank14","Tank"
"20180617_Tank15",2193.65578800776,59.82,"Tank15","Tank"
"20180617_Conical16",2186.95728145502,59.41,"Conical16","Conical"
"20180617_Conical17",2183.46525537322,59.97,"Conical17","Conical"
"20180617_Conical18",2191.71482706987,59.08,"Conical18","Conical"
"20180618_JUNK",2234.83703532419,59.86,"JUNK","JUNK"
"20180618_CRM1",2230.71011269162,59.21,"CRM1","CRM"
"20180618_CRM2",2229.36795779993,59.8,"CRM2","CRM"
"20180618_Tank10",2203.92352621348,59.54,"Tank10","Tank"
"20180618_Tank11",2192.8418581416,59.13,"Tank11","Tank"
"20180618_Tank12",2196.47958386912,59.8,"Tank12","Tank"
"20180618_Tank13",2281.36599559395,59.63,"Tank13","Tank"
"20180618_Tank14",2194.19750385812,59.82,"Tank14","Tank"
"20180618_Tank15",2197.0774009329,59.86,"Tank15","Tank"
"20180618_Conical16",2190.13863333201,59.23,"Conical16","Conical"
"20180618_Conical17",2180.78154802828,59.5,"Conical17","Conical"
"20180618_Conical18",2175.44940982049,59.84,"Conical18","Conical"
"20180618_JUNK",2211.44680109618,59.28,"Junk","Junk"
"20180618_Tank13",2237.85697916779,59.19,"Tank13","Tank"
"20180618_Conical18",2169.24475644531,59.46,"Conical18","Conical"
"20180619_CRM1",2264.29399416507,59.64,"CRM1","CRM"
"20180619_CRM2",2227.79692609411,59.03,"CRM2","CRM"
"20180619_CRM3",2230.83387666505,60.32,"CRM3","CRM"
"20180619_Tank10",2198.18565397626,59.7,"Tank10","Tank"
"20180619_Tank14",2192.84801345412,59.75,"Tank14","Tank"
"20180619_Conical17",2188.7611018978,60.18,"Conical17","Conical"
"20180619_Tank11",2190.88161978507,60.73,"Tank11","Tank"
