Date,Calib.Date,Time,Sample.ID,Treatment,Type,TA.Run,Temperature,pH.MV,Salinity,Period1,Notes,
20180613,20180613,0:12,Conical1,Ambient,Conical,No,26.56,-50.8,NA,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180613,20180613,0:12,Conical2,Ambient,Conical,No,26.64,-51.3,NA,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180613,20180613,0:12,Conical3,Low,Conical,No,26.77,-37.6,NA,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180613,20180613,0:12,Conical4,XLow,Conical,No,26.65,-18.8,NA,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180613,20180613,0:12,Conical5,XLow,Conical,No,26.66,-18.7,NA,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180613,20180613,0:12,Conical6,Low,Conical,No,26.78,-37.2,NA,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180613,20180613,0:12,Conical7,Ambient,Conical,No,26.65,-51.4,NA,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180613,20180613,0:12,Conical8,Low,Conical,No,26.77,-37.2,NA,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180613,20180613,0:12,Conical9,XLow,Conical,No,26.67,-18.2,NA,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180613,20180613,9:45,Conical1,Ambient,Conical,Yes,26.94,-52.2,34.14,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180613,20180613,9:45,Conical2,Ambient,Conical,Yes,27.05,-52.3,34.13,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180613,20180613,9:45,Conical3,Low,Conical,Yes,27.14,-38.6,34.22,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180613,20180613,9:45,Conical4,XLow,Conical,Yes,27.04,-18.8,34.14,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180613,20180613,9:45,Conical5,XLow,Conical,Yes,27.03,-19.1,34.13,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180613,20180613,9:45,Conical6,Low,Conical,Yes,27.12,-38.3,34.2,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180613,20180613,9:45,Conical7,Ambient,Conical,Yes,27.03,-52.5,34.21,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180613,20180613,9:45,Conical8,Low,Conical,Yes,27.21,-39,34.21,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180613,20180613,9:45,Conical9,XLow,Conical,Yes,27.13,-19.3,34.21,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180614,20180613,0:44,Conical1,Ambient,Conical,No,26.78,-47.2,34.28,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180614,20180613,0:44,Conical2,Ambient,Conical,No,26.85,-46.3,34.36,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180614,20180613,0:44,Conical3,Low,Conical,No,27.06,-31.4,34.43,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180614,20180613,0:44,Conical4,XLow,Conical,No,26.92,-19.3,34.37,Devo,Thermo meter A325 + Mettler Toledo 5134301,
20180614,20180613,0:44,Conical5,XLow,Conical,No,26.92,-15.5,34.34,Devo,Thermo meter A325 + Mettler Toledo 5134301,
