Date,Tank,Treatment,Volume,Time,Rate (mL/s),Notes
20180612,Tank10,Ambient,10,10.37,0.9643,HP/VS
20180612,Tank11,XLow,10,10.25,0.9756,HP/VS
20180612,Tank12,Low,7.5,10.01,0.7493,HP/VS
20180612,Tank12,Low,7.5,10.19,0.736,HP/VS
20180612,Tank12,Low,7.5,10.01,0.7493,Rows 64-68: adjusting Tank12 inflow
20180612,Tank12,Low,10,9.92,1.0081,HP/VS
20180612,Tank13,Ambient,8,9.95,0.804,HP/VS
20180612,Tank13,Ambient,10,9.95,1.005,HP/VS
20180612,Tank14,XLow,9,9.92,0.9073,HP/VS
20180612,Tank14,XLow,9,9.42,0.9554,HP/VS
20180612,Tank14,XLow,9,10.05,0.8955,HP/VS
20180612,Tank14,Xlow,9,10.11,0.8902,HP/VS
20180612,Tank15,Low,10,10.1,0.9901,HP/VS
20180612,Tank10,Ambient,9,10.1,0.8911,Start of Round 2 after all adjustements - HP
20180612,Tank11,Xlow,9,10,0.9,HP/VS
20180612,Tank12,Low,10,10.03,0.997,HP/VS
20180612,Tank13,Ambient,10,10.02,0.998,HP/VS
20180612,Tank14,Xlow,9,10.03,0.8973,HP/VS
20180612,Tank15,Low,10,9.98,1.002,HP/VS
