"Date","Sample.ID","Treatment","Period1","Type","Salinity","Temperature","pH","CO2","pCO2","HCO3","CO3","DIC","TA","Aragonite.Sat","Tank"
20180613,"20180613_Conical1","Ambient","Devo","Conical",34.14,26.94,7.82957414015397,18.873895999319,696.62363944996,1867.32886177358,143.544117682697,2029.7468754556,2220.27259711442,2.31285254113743,"Conical1"
20180613,"20180613_Conical2","Ambient","Devo","Conical",34.13,27.05,7.83038447126164,18.61183106188,688.755194672767,1848.46869849012,142.897040741701,2009.9775702937,2200.39510953688,2.30388784711352,"Conical2"
20180613,"20180613_Conical3","Low","Devo","Conical",34.22,27.14,7.59974597438757,33.8018931239541,1254.19664785501,1978.7175905402,90.425368906465,2102.94485257062,2201.08026382282,1.45772740929902,"Conical3"
20180613,"20180613_Conical4","XLow","Devo","Conical",34.14,27.04,7.2680450500929,76.7387397315676,2839.29504702813,2087.63363736004,44.2048133505178,2208.57719044213,2196.15373559096,0.712618184657688,"Conical4"
20180613,"20180613_Conical5","XLow","Devo","Conical",34.13,27.03,7.27314207564469,75.832129395333,2804.92575704392,2086.75817573286,44.6812153381947,2207.27152046639,2196.44591844095,0.720307625097559,"Conical5"
20180613,"20180613_Conical6","Low","Devo","Conical",34.2,27.12,7.59485345341967,34.1731322677969,1267.22721107781,1976.97034942358,89.2268754424241,2100.3703571338,2196.45499398557,1.43844563895714,"Conical6"
20180613,"20180613_Conical7","Ambient","Devo","Conical",34.21,27.03,7.83390032744243,18.3921583844964,680.573521121144,1842.06266761506,143.723202814001,2004.17802881356,2196.27563775072,2.31576039158609,"Conical7"
20180613,"20180613_Conical8","Low","Devo","Conical",34.21,27.21,7.60595805861276,36.4314308678137,1353.98927742623,2166.00233350715,100.642425091613,2303.07618946658,2409.41088979383,1.6231318908598,"Conical8"
20180613,"20180613_Conical9","XLow","Devo","Conical",34.21,27.13,7.275894278807,74.9660243163731,2780.76329597193,2081.31657704001,45.0955538134859,2201.37815516987,2192.08443347518,0.72698531202861,"Conical9"
20180614,"20180614_Conical1","Ambient","Devo","Conical",34.32,26.78,7.81301675371591,19.6047158528159,721.446378552615,1864.33620683521,137.729040281719,2021.66996296974,2203.69017567091,2.21473525140512,"Conical1"
20180614,"20180614_Conical2","Ambient","Devo","Conical",34.31,26.84,7.77218626489538,22.1436799424907,816.031074794626,1918.81860999754,129.286222281573,2070.2485122216,2236.33939382099,2.07974550379296,"Conical2"
20180614,"20180614_Conical3","Low","Devo","Conical",34.3,27.01,7.53401826808172,39.716111958071,1469.59974963238,1994.91415808249,78.137553999314,2112.76782403988,2187.29111616695,1.25813021435948,"Conical3"
20180614,"20180614_Conical5","XLow","Devo","Conical",34.29,26.9,7.26275112459659,79.2977224418046,2926.24876534046,2128.25417286669,44.4480574349664,2251.99995274346,2237.0653079047,0.715321423631231,"Conical5"
20180614,"20180614_Conical6","Low","Devo","Conical",34.34,27,7.53577328792018,39.9140582822504,1476.86744556089,2013.2762866543,79.2210098654039,2132.41135480196,2208.00298364001,1.27517405235477,"Conical6"
20180614,"20180614_Conical7","Ambient","Devo","Conical",34.3,26.84,7.76042640299806,22.5227259140903,829.9570977677,1899.36619807202,124.527723015698,2046.41664700181,2205.96382444458,2.00332973277473,"Conical7"
20180614,"20180614_Conical8","Low","Devo","Conical",34.34,27.01,7.53401826808172,39.9927372906091,1480.13825002522,2009.48386527818,78.7815401083078,2128.2581426771,2203.2065088425,1.26816547211138,"Conical8"
20180614,"20180614_Conical9","XLow","Devo","Conical",34.29,26.98,7.26389541497633,78.4914565980331,2902.13850108147,2115.32778175411,44.4237642405282,2238.24300259267,2224.18788554575,0.715224694855065,"Conical9"
20180614,"20180614_Tank10","Ambient","Devo","Tank",34.28,26.63,7.84791726898623,17.9141191543374,656.686201391067,1840.31625449977,146.391910718858,2004.62228437297,2201.18827370471,2.35285433570741,"Tank10"
20180614,"20180614_Tank11","XLow","Devo","Tank",34.22,26.63,7.31835277610498,69.2851021574203,2539.05207240545,2101.6120225548,49.3179721005644,2220.21509681279,2222.53451029263,0.792961935585192,"Tank11"
20180614,"20180614_Tank12","Low","Devo","Tank",34.17,26.43,7.60403001574471,33.9237285557552,1236.77798078446,1978.22582668962,88.8654473141544,2101.01500255953,2196.93226623291,1.42784068979555,"Tank12"
20180614,"20180614_Tank13","Ambient","Devo","Tank",34.21,26.44,7.84450987072287,18.7496120757348,683.873107717778,1903.15157806323,148.927252039671,2070.82844217864,2268.10908832842,2.39238539974616,"Tank13"
20180614,"20180614_Tank14","XLow","Devo","Tank",34.34,26.54,7.33074187731144,66.5669447034944,2435.56775301979,2076.17913847579,50.1067624249612,2192.85284560424,2199.34807445776,0.804649221486243,"Tank14"
20180614,"20180614_Tank15","Low","Devo","Tank",34.29,26.48,7.61541360884853,33.0864577815435,1208.47962138096,1984.51975143693,91.9397468360342,2109.54595605451,2210.62718453265,1.47646535956849,"Tank15"
20180615,"20180615_Tank10","Ambient","Devo","Tank",34.45,26.67,7.83366376500938,18.5658130644876,681.836010278084,1849.70213614593,143.160273632656,2011.42822284307,2202.731152614,2.29882038382466,"Tank10"
20180615,"20180615_Tank11","XLow","Devo","Tank",34.27,26.55,7.294956496059,72.6828401815246,2659.03621488766,2086.79022812467,46.3207289665738,2205.79379727277,2200.58792291888,0.744226916774983,"Tank11"
20180615,"20180615_Tank12","Low","Devo","Tank",34.56,26.42,7.61722728830181,32.9353369463425,1202.85637445934,1985.95022338874,92.7689697624761,2111.65453009756,2214.26046953189,1.48670237126215,"Tank12"
20180615,"20180615_Tank13","Ambient","Devo","Tank",34.25,26.41,7.83770399957939,18.5415609063619,675.925211398634,1852.34836749585,142.674914453474,2013.56484285568,2203.95405762735,2.29100898720015,"Tank13"
20180615,"20180615_Tank14","XLow","Devo","Tank",34.26,26.44,7.36136256810139,62.0512386505618,2263.85043952797,2071.4173429181,53.3491476828838,2186.81772925155,2202.51997553026,0.85673051973865,"Tank14"
20180615,"20180615_Tank15","Low","Devo","Tank",34.26,26.39,7.6090649314298,33.5207606703817,1221.45053886523,1977.53416445397,89.9278745054374,2100.98279962979,2198.90366907334,1.4437823174284,"Tank15"
20180616,"20180616_Tank10","Ambient","Devo","Tank",34.29,26.62,7.8385948606466,18.4437779647735,675.971410567833,1854.29787827968,144.352610138987,2017.09426638344,2209.85756918948,2.31980932376094,"Tank10"
20180616,"20180616_Tank11","XLow","Devo","Tank",34.25,26.19,7.32888302934087,67.5384821185679,2448.8001609434,2082.09856992447,49.2968415733503,2198.93389361639,2203.2401169228,0.790713693093029,"Tank11"
20180616,"20180616_Tank12","Low","Devo","Tank",34.27,26.23,7.62319420675027,32.4564318313435,1178.07812276091,1972.25930400368,92.136040550113,2096.85177638514,2199.11962255168,1.47795274892414,"Tank12"
20180616,"20180616_Tank13","Ambient","Devo","Tank",34.25,26.28,7.84664474271118,18.1026753617908,657.818084549372,1841.59444944603,144.111983135495,2003.80910794332,2197.01955610967,2.3125742100204,"Tank13"
20180616,"20180616_Tank14","XLow","Devo","Tank",34.37,26.17,7.32902522370913,67.2706133207241,2439.39079826056,2075.82648777631,49.2659950701992,2192.36309616724,2197.01000384647,0.7895284811406,"Tank14"
20180616,"20180616_Tank15","Low","Devo","Tank",34.25,26.21,7.61998905944928,32.7853823899123,1189.30882874113,1976.51778995264,91.5464763717169,2100.84964871427,2201.8563632837,1.46853790080495,"Tank15"
20180617,"20180617_Tank10","Ambient","Devo","Tank",34.35,25.92,7.85423555711809,17.9550270884153,647.00564234118,1847.68227469963,145.554549051087,2011.19185083914,2206.61198226193,2.3300525079903,"Tank10"
