yourlist:M20200824A94466D2655679D1FD8953E075198DA850B369V	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (GO)	Gene ontology IDs	Cross-reference (KO)
UPI00106A6B20	A0A4P7BVX6	A0A4P7BVX6_9GAMM	unreviewed	DUF3459 domain-containing protein	E3U44_05855	Nitrosococcus wardiae	541	catalytic activity [GO:0003824]; carbohydrate metabolic process [GO:0005975]	GO:0003824; GO:0005975	K01187;
UPI000F41A922	A0A3M6UMG2	A0A3M6UMG2_9CNID	unreviewed	Uncharacterized protein	pdam_00014124	Pocillopora damicornis	749	axonemal dynein complex [GO:0005858]; axonemal dynein complex assembly [GO:0070286]	GO:0005858; GO:0070286	
UPI000B45D096	A0A210QNS0	A0A210QNS0_MIZYE	unreviewed	C-1-tetrahydrofolate synthase, cytoplasmic (EC 1.5.1.5) (EC 3.5.4.9) (EC 6.3.4.3) (Formyltetrahydrofolate synthetase) (Methenyltetrahydrofolate cyclohydrolase) (Methylenetetrahydrofolate dehydrogenase)	KP79_PYT09464	Mizuhopecten yessoensis (Japanese scallop) (Patinopecten yessoensis)	934	ATP binding [GO:0005524]; formate-tetrahydrofolate ligase activity [GO:0004329]; methylenetetrahydrofolate dehydrogenase (NADP+) activity [GO:0004488]	GO:0004329; GO:0004488; GO:0005524	
UPI000C017348	A0A2B4S7Z0	A0A2B4S7Z0_STYPI	unreviewed	Caspase-7	CASP7 AWC38_SpisGene10698	Stylophora pistillata (Smooth cauliflower coral)	389	cysteine-type endopeptidase activity [GO:0004197]	GO:0004197	
UPI000C019A1E	A0A2B4SMJ9	A0A2B4SMJ9_STYPI	unreviewed	Queuine tRNA-ribosyltransferase accessory subunit 2 (Queuine tRNA-ribosyltransferase domain-containing protein 1)	qtrtd1 AWC38_SpisGene5509	Stylophora pistillata (Smooth cauliflower coral)	407	cytoplasm [GO:0005737]; metal ion binding [GO:0046872]; queuine tRNA-ribosyltransferase activity [GO:0008479]; tRNA-guanine transglycosylation [GO:0101030]	GO:0005737; GO:0008479; GO:0046872; GO:0101030	
UPI000F3AAF83	A0A3M6UIJ6	A0A3M6UIJ6_9CNID	unreviewed	Uncharacterized protein	pdam_00018698	Pocillopora damicornis	3343	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]	GO:0005509; GO:0005886; GO:0007156; GO:0016021	
UPI000C01AC97	A0A2B4R9W7	A0A2B4R9W7_STYPI	unreviewed	LIM and calponin-likey domains-containing protein 1	limch1 AWC38_SpisGene21416	Stylophora pistillata (Smooth cauliflower coral)	1875	regulation of cell adhesion [GO:0030155]; regulation of signaling [GO:0023051]	GO:0023051; GO:0030155	
UPI000F401F88	A0A3M6T4M8	A0A3M6T4M8_9CNID	unreviewed	Uncharacterized protein	pdam_00003854	Pocillopora damicornis	559	tumor necrosis factor receptor binding [GO:0005164]; zinc ion binding [GO:0008270]; innate immune response [GO:0045087]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; regulation of apoptotic process [GO:0042981]; regulation of cytokine production [GO:0001817]; regulation of defense response to virus [GO:0050688]; Toll signaling pathway [GO:0008063]; tumor necrosis factor-mediated signaling pathway [GO:0033209]	GO:0001817; GO:0005164; GO:0008063; GO:0008270; GO:0032088; GO:0033209; GO:0042981; GO:0045087; GO:0050688	
UPI000C00E8B4	A0A2B4SMJ4	A0A2B4SMJ4_STYPI	unreviewed	PRP19/PSO4 homolog (EC 2.3.2.27) (Pre-mRNA-processing factor 19) (RING-type E3 ubiquitin transferase PRP19)	PRPF19 AWC38_SpisGene4067	Stylophora pistillata (Smooth cauliflower coral)	505	Prp19 complex [GO:0000974]; ubiquitin protein ligase activity [GO:0061630]; DNA repair [GO:0006281]; mRNA splicing, via spliceosome [GO:0000398]	GO:0000398; GO:0000974; GO:0006281; GO:0061630	
UPI000C01A1E9	A0A2B4S5K6	A0A2B4S5K6_STYPI	unreviewed	Kinesin-like protein KIF21A	KIF21A AWC38_SpisGene9358	Stylophora pistillata (Smooth cauliflower coral)	1651	ATP binding [GO:0005524]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; microtubule-based movement [GO:0007018]	GO:0003777; GO:0005524; GO:0007018; GO:0008017	
