yourlist:M20200824A94466D2655679D1FD8953E075198DA850AEF1W	isomap:M20200824A94466D2655679D1FD8953E075198DA850AEF1W	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (GO)	Gene ontology IDs	Cross-reference (KO)
XP_007527631.1		A0A1S3A0Z0	A0A1S3A0Z0_ERIEU	unreviewed	Lysine--tRNA ligase (EC 6.1.1.6) (Lysyl-tRNA synthetase)	KARS	Erinaceus europaeus (Western European hedgehog)	596	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; lysine-tRNA ligase activity [GO:0004824]; nucleic acid binding [GO:0003676]; lysyl-tRNA aminoacylation [GO:0006430]	GO:0003676; GO:0004824; GO:0005524; GO:0005737; GO:0006430	
XP_014787197.1		A0A0L8FSZ8	A0A0L8FSZ8_OCTBM	unreviewed	Epimerase domain-containing protein	OCBIM_22008886mg	Octopus bimaculoides (California two-spotted octopus)	402	integral component of membrane [GO:0016021]; catalytic activity [GO:0003824]	GO:0003824; GO:0016021	
XP_013379279.1		A0A1S3H2A6	A0A1S3H2A6_LINUN	unreviewed	protein FRA10AC1	LOC106150821	Lingula unguis	173			K13121;
NP_849193.1		Q8TCJ2	STT3B_HUMAN	reviewed	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B (Oligosaccharyl transferase subunit STT3B) (STT3-B) (EC 2.4.99.18) (Source of immunodominant MHC-associated peptides homolog)	STT3B SIMP	Homo sapiens (Human)	826	endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; oligosaccharyltransferase complex [GO:0008250]; oligosaccharyltransferase I complex [GO:0034998]; protein-containing complex [GO:0032991]; dolichyl-diphosphooligosaccharide-protein glycotransferase activity [GO:0004579]; metal ion binding [GO:0046872]; co-translational protein modification [GO:0043686]; glycoprotein catabolic process [GO:0006516]; post-translational protein modification [GO:0043687]; protein N-linked glycosylation [GO:0006487]; protein N-linked glycosylation via asparagine [GO:0018279]; response to unfolded protein [GO:0006986]; ubiquitin-dependent ERAD pathway [GO:0030433]	GO:0004579; GO:0005783; GO:0006487; GO:0006516; GO:0006986; GO:0008250; GO:0016020; GO:0016021; GO:0018279; GO:0030433; GO:0032991; GO:0034998; GO:0043686; GO:0043687; GO:0046872	K07151;
XP_001640984.1		A7RHV7	A7RHV7_NEMVE	unreviewed	Predicted protein	v1g236357	Nematostella vectensis (Starlet sea anemone)	268	integral component of membrane [GO:0016021]	GO:0016021	
XP_001639500.1		A7RM38	A7RM38_NEMVE	unreviewed	DNA primase large subunit	v1g179624	Nematostella vectensis (Starlet sea anemone)	517	alpha DNA polymerase:primase complex [GO:0005658]; 4 iron, 4 sulfur cluster binding [GO:0051539]; DNA binding [GO:0003677]; DNA primase activity [GO:0003896]; metal ion binding [GO:0046872]	GO:0003677; GO:0003896; GO:0005658; GO:0046872; GO:0051539	
XP_013386289.1		A0A1S3HML2	A0A1S3HML2_LINUN	unreviewed	cilia- and flagella-associated protein 43 isoform X2	LOC106155816	Lingula unguis	1696	motile cilium [GO:0031514]	GO:0031514	
XP_013632148.1		A0A0D3C5H0	A0A0D3C5H0_BRAOL	unreviewed	Pre-mRNA-splicing factor 38	106337587	Brassica oleracea var. oleracea	349	precatalytic spliceosome [GO:0071011]; mRNA splicing, via spliceosome [GO:0000398]	GO:0000398; GO:0071011	K12849;
XP_005948805.1		A0A3Q2VKY8	A0A3Q2VKY8_HAPBU	unreviewed	Acyl-coenzyme A oxidase		Haplochromis burtoni (Burton's mouthbrooder) (Chromis burtoni)	692	peroxisome [GO:0005777]; acyl-CoA oxidase activity [GO:0003997]; FAD binding [GO:0071949]; fatty acid beta-oxidation [GO:0006635]	GO:0003997; GO:0005777; GO:0006635; GO:0071949	
XP_013402746.2		A0A1S3IXP3	A0A1S3IXP3_LINUN	unreviewed	uncharacterized protein LOC106168283	LOC106168283	Lingula unguis	393	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074	
XP_002588091.1		C3ZTJ5	C3ZTJ5_BRAFL	unreviewed	C2H2-type domain-containing protein	BRAFLDRAFT_87609	Branchiostoma floridae (Florida lancelet) (Amphioxus)	676	cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; serine C-palmitoyltransferase complex [GO:0017059]; pyridoxal phosphate binding [GO:0030170]; serine C-palmitoyltransferase activity [GO:0004758]; ceramide biosynthetic process [GO:0046513]; sphingosine biosynthetic process [GO:0046512]	GO:0004758; GO:0005737; GO:0016021; GO:0017059; GO:0030170; GO:0046512; GO:0046513	K00654;
XP_007527130.1		A0A1S2ZZS3	A0A1S2ZZS3_ERIEU	unreviewed	MCM domain-containing protein 2 isoform X1	MCMDC2	Erinaceus europaeus (Western European hedgehog)	681			
XP_013413582.1		A0A1S3JTB6	A0A1S3JTB6_LINUN	unreviewed	Acyl-coenzyme A oxidase	LOC106175937	Lingula unguis	674	peroxisome [GO:0005777]; acyl-CoA oxidase activity [GO:0003997]; FAD binding [GO:0071949]; fatty acid beta-oxidation [GO:0006635]	GO:0003997; GO:0005777; GO:0006635; GO:0071949	K00232;
