yourlist:M20200824A94466D2655679D1FD8953E075198DA850B510E	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (GO)	Gene ontology IDs	Cross-reference (KO)
PFX30396.1	A0A2B4SM13	A0A2B4SM13_STYPI	unreviewed	Ribonuclease P protein subunit p30	RPP30 AWC38_SpisGene4855	Stylophora pistillata (Smooth cauliflower coral)	361	ribonuclease P activity [GO:0004526]; tRNA processing [GO:0008033]	GO:0004526; GO:0008033	
AGG36361.1	M1SUQ8	M1SUQ8_STYPI	unreviewed	Protocadherin fat-like protein		Stylophora pistillata (Smooth cauliflower coral)	1304	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]	GO:0005509; GO:0005886; GO:0007156; GO:0016021	
PFX29986.1	A0A2B4SKU2	A0A2B4SKU2_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene5221	Stylophora pistillata (Smooth cauliflower coral)	721			
HAO15752.1	A0A3C1S399	A0A3C1S399_9FLAO	unreviewed	Reverse transcriptase domain-containing protein (Fragment)	DDE71_09385	Tenacibaculum sp.	856			
PFX27932.1	A0A2B4SHH7	A0A2B4SHH7_STYPI	unreviewed	Cys-loop ligand-gated ion channel (Fragment)	AWC38_SpisGene7358	Stylophora pistillata (Smooth cauliflower coral)	259	integral component of membrane [GO:0016021]; ion channel activity [GO:0005216]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0005216; GO:0016021	
RMX42094.1	A0A3M6TLH4	A0A3M6TLH4_9CNID	unreviewed	Uncharacterized protein (Fragment)	pdam_00001300	Pocillopora damicornis	792	nucleus [GO:0005634]; regulation of cell cycle [GO:0051726]; regulation of transcription by RNA polymerase II [GO:0006357]	GO:0005634; GO:0006357; GO:0051726	
PFX34023.1	A0A2B4SY37	A0A2B4SY37_STYPI	unreviewed	EGF-like repeat and discoidin I-like domain-containing protein 3	EDIL3 AWC38_SpisGene1153	Stylophora pistillata (Smooth cauliflower coral)	412			
RUS70094.1	A0A3S0ZLE2	A0A3S0ZLE2_ELYCH	unreviewed	Uncharacterized protein	EGW08_022143	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	1517	regulation of transcription, DNA-templated [GO:0006355]	GO:0006355	
RUA05411.1	A0A432I5T0	A0A432I5T0_9GAMM	unreviewed	Uncharacterized protein	DSY43_04625	Gammaproteobacteria bacterium	234			
PFX19801.1	A0A2B4RQB6	A0A2B4RQB6_STYPI	unreviewed	Protein FAM91A1	Fam91a1 AWC38_SpisGene15777	Stylophora pistillata (Smooth cauliflower coral)	849			
ABU63168.1	B2KNL8	B2KNL8_BUNFA	unreviewed	Phospholipase A2 BF-29 (EC 3.1.1.4) (Phospholipase A2 BF-32) (Phospholipase A2 BF-34) (Phospholipase A2 BF-36) (Phospholipase A2 BF-38) (Phospholipase A2 BF-44)		Bungarus fasciatus (Banded krait) (Pseudoboa fasciata)	145	extracellular region [GO:0005576]; calcium ion binding [GO:0005509]; phospholipase A2 activity [GO:0004623]; phospholipase A2 activity (consuming 1,2-dipalmitoylphosphatidylcholine) [GO:0102567]; phospholipase A2 activity consuming 1,2-dioleoylphosphatidylethanolamine) [GO:0102568]; arachidonic acid secretion [GO:0050482]; lipid catabolic process [GO:0016042]; phospholipid metabolic process [GO:0006644]	GO:0004623; GO:0005509; GO:0005576; GO:0006644; GO:0016042; GO:0050482; GO:0102567; GO:0102568	
CBJ33249.1	D7G1D9	D7G1D9_ECTSI	unreviewed	C2H2 zinc finger protein	Esi_0448_0011	Ectocarpus siliculosus (Brown alga) (Conferva siliculosa)	936	nucleic acid binding [GO:0003676]	GO:0003676	
PFX15225.1	A0A2B4RG24	A0A2B4RG24_STYPI	unreviewed	Hemicentin-1	HMCN1 AWC38_SpisGene20570	Stylophora pistillata (Smooth cauliflower coral)	1960			
PFX34826.1	A0A2B4SZT8	A0A2B4SZT8_STYPI	unreviewed	Uncharacterized protein K02A2.6	K02A2.6 AWC38_SpisGene253	Stylophora pistillata (Smooth cauliflower coral)	772	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0008270	
PFX16145.1	A0A2B4RIQ8	A0A2B4RIQ8_STYPI	unreviewed	RNA-directed DNA polymerase from mobile element jockey	jockey\pol AWC38_SpisGene19595	Stylophora pistillata (Smooth cauliflower coral)	1161	calcium ion binding [GO:0005509]; RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964; GO:0005509	
PFX34822.1	A0A2B4T210	A0A2B4T210_STYPI	unreviewed	SWIM-type domain-containing protein	AWC38_SpisGene257	Stylophora pistillata (Smooth cauliflower coral)	810	zinc ion binding [GO:0008270]	GO:0008270	
ACO52007.1	C1C4U7	C1C4U7_LITCT	unreviewed	Proteasome assembly chaperone 2	PSMG2	Lithobates catesbeianus (American bullfrog) (Rana catesbeiana)	261	proteasome complex [GO:0000502]	GO:0000502	
PFX13501.1	A0A2B4R786	A0A2B4R786_STYPI	unreviewed	Polycystic kidney disease protein 1-like 2	Pkd1l2 AWC38_SpisGene22409	Stylophora pistillata (Smooth cauliflower coral)	2313	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021	
RMX43966.1	A0A3M6TRJ9	A0A3M6TRJ9_9CNID	unreviewed	Uncharacterized protein	pdam_00024315	Pocillopora damicornis	540	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	GO:0004930; GO:0007166; GO:0016021	
KFW90491.1	A0A093QPL7	A0A093QPL7_PHACA	unreviewed	Coatomer subunit beta (Beta-coat protein)	N336_12747	Phalacrocorax carbo (Great cormorant) (Pelecanus carbo)	945	COPI vesicle coat [GO:0030126]; Golgi membrane [GO:0000139]; structural molecule activity [GO:0005198]; intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192]	GO:0000139; GO:0005198; GO:0006886; GO:0016192; GO:0030126	
PFX13043.1	A0A2B4R891	A0A2B4R891_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene22912	Stylophora pistillata (Smooth cauliflower coral)	188			
RMX60284.1	A0A3M6V394	A0A3M6V394_9CNID	unreviewed	Uncharacterized protein	pdam_00021442	Pocillopora damicornis	1071	integral component of membrane [GO:0016021]	GO:0016021	
PFX32797.1	A0A2B4SWI1	A0A2B4SWI1_STYPI	unreviewed	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	mtnN AWC38_SpisGene2426	Stylophora pistillata (Smooth cauliflower coral)	313	catalytic activity [GO:0003824]; nucleoside metabolic process [GO:0009116]	GO:0003824; GO:0009116	
PFX30127.1	A0A2B4SNN7	A0A2B4SNN7_STYPI	unreviewed	Deleted in malignant brain tumors 1 protein	DMBT1 AWC38_SpisGene5117	Stylophora pistillata (Smooth cauliflower coral)	1083	membrane [GO:0016020]; scavenger receptor activity [GO:0005044]	GO:0005044; GO:0016020	
RMX48082.1	A0A3M6U351	A0A3M6U351_9CNID	unreviewed	Uncharacterized protein	pdam_00002594	Pocillopora damicornis	3544	microtubule [GO:0005874]; calmodulin binding [GO:0005516]; microtubule binding [GO:0008017]; spectrin binding [GO:0030507]; neuron projection development [GO:0031175]	GO:0005516; GO:0005874; GO:0008017; GO:0030507; GO:0031175	
PIK35068.1	A0A2G8JH81	A0A2G8JH81_STIJA	unreviewed	Uncharacterized protein	BSL78_28111	Stichopus japonicus (Sea cucumber)	206			
TRY70280.1	A0A553NXX6	A0A553NXX6_TIGCA	unreviewed	Uncharacterized protein (Fragment)	TCAL_06655	Tigriopus californicus (Marine copepod)	7647	integral component of membrane [GO:0016021]; nucleus [GO:0005634]; calcium ion binding [GO:0005509]; DNA-binding transcription factor activity [GO:0003700]; scavenger receptor activity [GO:0005044]; zinc ion binding [GO:0008270]	GO:0003700; GO:0005044; GO:0005509; GO:0005634; GO:0008270; GO:0016021	
RMX45632.1	A0A3M6TW64	A0A3M6TW64_9CNID	unreviewed	Uncharacterized protein (Fragment)	pdam_00010605	Pocillopora damicornis	1159			
BAA33741.1	O77050	O77050_HELCR	unreviewed	Tyrosine-protein kinase (EC 2.7.10.2)	AcSrc1	Heliocidaris crassispina (Sea urchin) (Anthocidaris crassispina)	517	ATP binding [GO:0005524]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]	GO:0004715; GO:0005524	
KOF86451.1	A0A0L8HAZ7	A0A0L8HAZ7_OCTBM	unreviewed	SEC7 domain-containing protein	OCBIM_22018605mg	Octopus bimaculoides (California two-spotted octopus)	1781	ARF guanyl-nucleotide exchange factor activity [GO:0005086]; regulation of ARF protein signal transduction [GO:0032012]	GO:0005086; GO:0032012	
PFX14198.1	A0A2B4RCU3	A0A2B4RCU3_STYPI	unreviewed	THAP-type domain-containing protein	AWC38_SpisGene21664	Stylophora pistillata (Smooth cauliflower coral)	982	DNA binding [GO:0003677]	GO:0003677	
VEN60330.1	A0A653DJE8	A0A653DJE8_CALMS	unreviewed	Uncharacterized protein	CALMAC_LOCUS18067	Callosobruchus maculatus (Southern cowpea weevil) (Pulse bruchid)	1489	guanyl-nucleotide exchange factor activity [GO:0005085]	GO:0005085	
PFX30309.1	A0A2B4SMG6	A0A2B4SMG6_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene4912	Stylophora pistillata (Smooth cauliflower coral)	252			
SJX71974.1	A0A1T4JHB0	A0A1T4JHB0_NEMVE	unreviewed	Dachshund transcription factor (Fragment)	dachshund	Nematostella vectensis (Starlet sea anemone)	447			
EDO40466.1	A7S746	A7S746_NEMVE	unreviewed	Predicted protein	v1g107256	Nematostella vectensis (Starlet sea anemone)	246	endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]; endoplasmic reticulum tubular network organization [GO:0071786]; membrane organization [GO:0061024]	GO:0005783; GO:0016021; GO:0061024; GO:0071786	
EDO49788.1	A7RFW0	A7RFW0_NEMVE	unreviewed	Predicted protein	v1g237945	Nematostella vectensis (Starlet sea anemone)	1481	trans-Golgi network [GO:0005802]; positive regulation of amyloid-beta formation [GO:1902004]	GO:0005802; GO:1902004	
EDO31116.1	A7SYV0	A7SYV0_NEMVE	unreviewed	Predicted protein	v1g248144	Nematostella vectensis (Starlet sea anemone)	1123	integral component of membrane [GO:0016021]	GO:0016021	
TNM90546.1	A0A4Z2BG69	A0A4Z2BG69_9TELE	unreviewed	BZIP domain-containing protein	fugu_002835	Takifugu bimaculatus	154	DNA-binding transcription factor activity [GO:0003700]	GO:0003700	
PFX18785.1	A0A2B4RR96	A0A2B4RR96_STYPI	unreviewed	Mucin-4	MUC4 AWC38_SpisGene16818	Stylophora pistillata (Smooth cauliflower coral)	3579	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]; carbonate dehydratase activity [GO:0004089]; zinc ion binding [GO:0008270]	GO:0004089; GO:0005509; GO:0008270; GO:0016021	
RXN02983.1	A0A498L6C6	A0A498L6C6_LABRO	unreviewed	Zinc finger and SCAN domain-containing 29-like protein	ROHU_034569	Labeo rohita (Indian major carp) (Cyprinus rohita)	168			
PFX15453.1	A0A2B4RF62	A0A2B4RF62_STYPI	unreviewed	Putative RNA-directed DNA polymerase from transposon X-element	AWC38_SpisGene20326	Stylophora pistillata (Smooth cauliflower coral)	774	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	
PFX19855.1	A0A2B4RUB9	A0A2B4RUB9_STYPI	unreviewed	Putative RNA-directed DNA polymerase from transposon X-element	AWC38_SpisGene15722	Stylophora pistillata (Smooth cauliflower coral)	493	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	
PFX15676.1	A0A2B4RET2	A0A2B4RET2_STYPI	unreviewed	Titin	Ttn AWC38_SpisGene20102	Stylophora pistillata (Smooth cauliflower coral)	1247	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524; GO:0016021	
PFX14243.1	A0A2B4RBR7	A0A2B4RBR7_STYPI	unreviewed	Cyclic GMP-AMP synthase	MB21D1 AWC38_SpisGene21615	Stylophora pistillata (Smooth cauliflower coral)	634			
PFX22416.1	A0A2B4RZ41	A0A2B4RZ41_STYPI	unreviewed	Adenosine receptor A2a	ADORA2A AWC38_SpisGene13043	Stylophora pistillata (Smooth cauliflower coral)	359	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	
RMX61479.1	A0A3M6V6I4	A0A3M6V6I4_9CNID	unreviewed	CUE domain-containing protein (Fragment)	pdam_00003513	Pocillopora damicornis	261			
ATY39324.1	A0A2H4R564	A0A2H4R564_STYPI	unreviewed	Hypoxia-inducible factor alpha subunit	HIF-alpha	Stylophora pistillata (Smooth cauliflower coral)	688	cytoplasm [GO:0005737]; nucleus [GO:0005634]; transcription regulator complex [GO:0005667]; DNA-binding transcription factor activity [GO:0003700]; protein dimerization activity [GO:0046983]	GO:0003700; GO:0005634; GO:0005667; GO:0005737; GO:0046983	
PFX29758.1	A0A2B4SMF1	A0A2B4SMF1_STYPI	unreviewed	Death domain-containing protein	AWC38_SpisGene5457	Stylophora pistillata (Smooth cauliflower coral)	231	signal transduction [GO:0007165]	GO:0007165	
OCQ98706.1	A0A1C0VLP9	A0A1C0VLP9_9NOSO	unreviewed	TPR_REGION domain-containing protein	BCD64_21860	Nostoc sp. MBR 210	912			
RMX44885.1	A0A3M6TU12	A0A3M6TU12_9CNID	unreviewed	Uncharacterized protein	pdam_00012541	Pocillopora damicornis	527	catalytic activity [GO:0003824]	GO:0003824	
